"Age","Value","Year","Size","Technology","Scenario","rel_value"
0,16695,2028,"Car","BEV100","SSP1,2 and 5",0.00434970536901368
0,3503807,2028,"Car","BEV300","SSP1,2 and 5",0.912879791547633
0,33400,2028,"Car","PHEV20","SSP1,2 and 5",0.00870201613207889
0,123890,2028,"Car","PHEV40","SSP1,2 and 5",0.032278226904289
0,6119,2028,"Light truck","BEV100","SSP1,2 and 5",0.00159424062012547
0,108562,2028,"Light truck","BEV300","SSP1,2 and 5",0.0282846789021182
0,28273,2028,"Light truck","PHEV20","SSP1,2 and 5",0.00736623060186426
0,17445,2028,"Light truck","PHEV40","SSP1,2 and 5",0.00454510992287773
0,16909,2029,"Car","BEV100","SSP1,2 and 5",0.00352124114952103
0,4435846,2029,"Car","BEV300","SSP1,2 and 5",0.923749687630154
0,33828,2029,"Car","PHEV20","SSP1,2 and 5",0.00704456476468138
0,125477,2029,"Car","PHEV40","SSP1,2 and 5",0.0261301541024573
0,6197,2029,"Light truck","BEV100","SSP1,2 and 5",0.00129050395668471
0,137440,2029,"Light truck","BEV300","SSP1,2 and 5",0.0286214077467722
0,28635,2029,"Light truck","PHEV20","SSP1,2 and 5",0.00596314035818409
0,17668,2029,"Light truck","PHEV40","SSP1,2 and 5",0.00367930029154519
0,16967,2030,"Car","BEV100","SSP1,2 and 5",0.00305565205583413
0,5163189,2030,"Car","BEV300","SSP1,2 and 5",0.929858494872999
0,33944,2030,"Car","PHEV20","SSP1,2 and 5",0.00611310504999315
0,125906,2030,"Car","PHEV40","SSP1,2 and 5",0.0226748940733101
0,6218,2030,"Light truck","BEV100","SSP1,2 and 5",0.00111982345041413
0,159976,2030,"Light truck","BEV300","SSP1,2 and 5",0.0288106909461968
0,28733,2030,"Light truck","PHEV20","SSP1,2 and 5",0.00517463608889504
0,17728,2030,"Light truck","PHEV40","SSP1,2 and 5",0.00319270346235796
0,17150,2031,"Car","BEV100","SSP1,2 and 5",0.00260737401860494
0,6154820,2031,"Car","BEV300","SSP1,2 and 5",0.935738644734115
0,34311,2031,"Car","PHEV20","SSP1,2 and 5",0.00521642040538509
0,127267,2031,"Car","PHEV40","SSP1,2 and 5",0.0193488436866353
0,6286,2031,"Light truck","BEV100","SSP1,2 and 5",0.00095568239539071
0,190701,2031,"Light truck","BEV300","SSP1,2 and 5",0.0289929348525937
0,29044,2031,"Light truck","PHEV20","SSP1,2 and 5",0.00441566011640595
0,17920,2031,"Light truck","PHEV40","SSP1,2 and 5",0.00272443979086884
0,17266,2032,"Car","BEV100","SSP1,2 and 5",0.00227387722537987
0,7138477,2032,"Car","BEV300","SSP1,2 and 5",0.940114692123134
0,34542,2032,"Car","PHEV20","SSP1,2 and 5",0.00454907141891993
0,128126,2032,"Car","PHEV40","SSP1,2 and 5",0.0168737862492194
0,6328,2032,"Light truck","BEV100","SSP1,2 and 5",0.0008333774517667
0,221178,2032,"Light truck","BEV300","SSP1,2 and 5",0.0291284383733968
0,29240,2032,"Light truck","PHEV20","SSP1,2 and 5",0.00385081490038848
0,18041,2032,"Light truck","PHEV40","SSP1,2 and 5",0.00237594225779441
0,17447,2033,"Car","BEV100","SSP1,2 and 5",0.00201595710877063
0,8165458,2033,"Car","BEV300","SSP1,2 and 5",0.943498200347798
0,34905,2033,"Car","PHEV20","SSP1,2 and 5",0.00403318523996326
0,129471,2033,"Car","PHEV40","SSP1,2 and 5",0.014960049454327
0,6394,2033,"Light truck","BEV100","SSP1,2 and 5",0.000738810669655495
0,252998,2033,"Light truck","BEV300","SSP1,2 and 5",0.0292332846108072
0,29547,2033,"Light truck","PHEV20","SSP1,2 and 5",0.00341408177296073
0,18230,2033,"Light truck","PHEV40","SSP1,2 and 5",0.00210643079571781
0,17660,2034,"Car","BEV100","SSP1,2 and 5",0.00181063412282518
0,9228675,2034,"Car","BEV300","SSP1,2 and 5",0.946192177999073
0,35331,2034,"Car","PHEV20","SSP1,2 and 5",0.00362239604719911
0,131050,2034,"Car","PHEV40","SSP1,2 and 5",0.0134362175422559
0,6472,2034,"Light truck","BEV100","SSP1,2 and 5",0.000663557420324153
0,285941,2034,"Light truck","BEV300","SSP1,2 and 5",0.0293167911503258
0,29907,2034,"Light truck","PHEV20","SSP1,2 and 5",0.0030662873562476
0,18453,2034,"Light truck","PHEV40","SSP1,2 and 5",0.00189193836174932
0,17874,2035,"Car","BEV100","SSP1,2 and 5",0.00164326858385625
0,10315715,2035,"Car","BEV300","SSP1,2 and 5",0.948388182808252
0,35758,2035,"Car","PHEV20","SSP1,2 and 5",0.00328745653024124
0,132637,2035,"Car","PHEV40","SSP1,2 and 5",0.0121941487723476
0,6551,2035,"Light truck","BEV100","SSP1,2 and 5",0.00060227439257258
0,319622,2035,"Light truck","BEV300","SSP1,2 and 5",0.02938484901585
0,30269,2035,"Light truck","PHEV20","SSP1,2 and 5",0.00278281843822003
0,18676,2035,"Light truck","PHEV40","SSP1,2 and 5",0.00171700145866059
0,17767,2036,"Car","BEV100","SSP1,2 and 5",0.00162589677353702
0,10366005,2036,"Car","BEV300","SSP1,2 and 5",0.948615640455262
0,35545,2036,"Car","PHEV20","SSP1,2 and 5",0.00325280018097447
0,131845,2036,"Car","PHEV40","SSP1,2 and 5",0.0120654224183592
0,6512,2036,"Light truck","BEV100","SSP1,2 and 5",0.000595927269053475
0,321180,2036,"Light truck","BEV300","SSP1,2 and 5",0.0293918796490472
0,30089,2036,"Light truck","PHEV20","SSP1,2 and 5",0.0027535097663621
0,18565,2036,"Light truck","PHEV40","SSP1,2 and 5",0.00169892348740445
0,17894,2037,"Car","BEV100","SSP1,2 and 5",0.00160894043620503
0,10552607,2037,"Car","BEV300","SSP1,2 and 5",0.948838499479167
0,35798,2037,"Car","PHEV20","SSP1,2 and 5",0.00321878002320708
0,132786,2037,"Car","PHEV40","SSP1,2 and 5",0.0119394637734392
0,6558,2037,"Light truck","BEV100","SSP1,2 and 5",0.000589663092692107
0,326962,2037,"Light truck","BEV300","SSP1,2 and 5",0.029398814289844
0,30303,2037,"Light truck","PHEV20","SSP1,2 and 5",0.00272469666023924
0,18697,2037,"Light truck","PHEV40","SSP1,2 and 5",0.00168114224520651
0,17917,2038,"Car","BEV100","SSP1,2 and 5",0.00159235272536986
0,10678693,2038,"Car","BEV300","SSP1,2 and 5",0.94905653300988
0,35844,2038,"Car","PHEV20","SSP1,2 and 5",0.00318559418921455
0,132953,2038,"Car","PHEV40","SSP1,2 and 5",0.011816044644533
0,6566,2038,"Light truck","BEV100","SSP1,2 and 5",0.000583545682579588
0,330869,2038,"Light truck","BEV300","SSP1,2 and 5",0.0294056010431657
0,30341,2038,"Light truck","PHEV20","SSP1,2 and 5",0.0026965214065104
0,18721,2038,"Light truck","PHEV40","SSP1,2 and 5",0.00166380729874695
0,17717,2039,"Car","BEV100","SSP1,2 and 5",0.00157598139244276
0,10671588,2039,"Car","BEV300","SSP1,2 and 5",0.949270424779334
