"Technology","Year","Scenario","Value","Unit"
"CNG",2034,"SSP1",334941,"Vehicles"
"EV",2034,"SSP1",55147930,"Vehicles"
"FCV",2034,"SSP1",83326,"Vehicles"
"FFV",2034,"SSP1",19551820,"Vehicles"
"HEV",2034,"SSP1",9119875,"Vehicles"
"ICEV-D",2034,"SSP1",1626719,"Vehicles"
"ICEV-G",2034,"SSP1",204311729,"Vehicles"
"CNG",2035,"SSP1",336940,"Vehicles"
"EV",2035,"SSP1",64281635,"Vehicles"
"FCV",2035,"SSP1",86109,"Vehicles"
"FFV",2035,"SSP1",19487277,"Vehicles"
"HEV",2035,"SSP1",9262337,"Vehicles"
"ICEV-D",2035,"SSP1",1645801,"Vehicles"
"ICEV-G",2035,"SSP1",197008350,"Vehicles"
"CNG",2036,"SSP1",338579,"Vehicles"
"EV",2036,"SSP1",73114889,"Vehicles"
"FCV",2036,"SSP1",88608,"Vehicles"
"FFV",2036,"SSP1",19475041,"Vehicles"
"HEV",2036,"SSP1",9372576,"Vehicles"
"ICEV-D",2036,"SSP1",1663720,"Vehicles"
"ICEV-G",2036,"SSP1",189747844,"Vehicles"
"CNG",2037,"SSP1",340360,"Vehicles"
"EV",2037,"SSP1",81759353,"Vehicles"
"FCV",2037,"SSP1",90927,"Vehicles"
"FFV",2037,"SSP1",19460697,"Vehicles"
"HEV",2037,"SSP1",9471677,"Vehicles"
"ICEV-D",2037,"SSP1",1683100,"Vehicles"
"ICEV-G",2037,"SSP1",182687965,"Vehicles"
"CNG",2038,"SSP1",342333,"Vehicles"
"EV",2038,"SSP1",90109844,"Vehicles"
"FCV",2038,"SSP1",93032,"Vehicles"
"FFV",2038,"SSP1",19377717,"Vehicles"
"HEV",2038,"SSP1",9556371,"Vehicles"
"ICEV-D",2038,"SSP1",1704133,"Vehicles"
"ICEV-G",2038,"SSP1",176003474,"Vehicles"
"CNG",2039,"SSP1",344718,"Vehicles"
"EV",2039,"SSP1",97987298,"Vehicles"
"FCV",2039,"SSP1",94855,"Vehicles"
"FFV",2039,"SSP1",19326203,"Vehicles"
"HEV",2039,"SSP1",9629067,"Vehicles"
"ICEV-D",2039,"SSP1",1723358,"Vehicles"
"ICEV-G",2039,"SSP1",169774216,"Vehicles"
"CNG",2040,"SSP1",345750,"Vehicles"
"EV",2040,"SSP1",105430422,"Vehicles"
"FCV",2040,"SSP1",96471,"Vehicles"
"FFV",2040,"SSP1",19345363,"Vehicles"
"HEV",2040,"SSP1",9693270,"Vehicles"
"ICEV-D",2040,"SSP1",1736524,"Vehicles"
"ICEV-G",2040,"SSP1",163924730,"Vehicles"
"CNG",2041,"SSP1",347474,"Vehicles"
"EV",2041,"SSP1",112474281,"Vehicles"
"FCV",2041,"SSP1",98003,"Vehicles"
"FFV",2041,"SSP1",19334814,"Vehicles"
"HEV",2041,"SSP1",9758971,"Vehicles"
"ICEV-D",2041,"SSP1",1750647,"Vehicles"
"ICEV-G",2041,"SSP1",158336768,"Vehicles"
"CNG",2042,"SSP1",349340,"Vehicles"
"EV",2042,"SSP1",119194991,"Vehicles"
"FCV",2042,"SSP1",99526,"Vehicles"
"FFV",2042,"SSP1",19233084,"Vehicles"
"HEV",2042,"SSP1",9830867,"Vehicles"
"ICEV-D",2042,"SSP1",1764859,"Vehicles"
"ICEV-G",2042,"SSP1",153156720,"Vehicles"
"CNG",2043,"SSP1",351395,"Vehicles"
"EV",2043,"SSP1",125588260,"Vehicles"
"FCV",2043,"SSP1",101040,"Vehicles"
"FFV",2043,"SSP1",19163607,"Vehicles"
"HEV",2043,"SSP1",9902730,"Vehicles"
"ICEV-D",2043,"SSP1",1781495,"Vehicles"
"ICEV-G",2043,"SSP1",148269275,"Vehicles"
"CNG",2044,"SSP1",353450,"Vehicles"
"EV",2044,"SSP1",131618645,"Vehicles"
"FCV",2044,"SSP1",102532,"Vehicles"
"FFV",2044,"SSP1",19090618,"Vehicles"
"HEV",2044,"SSP1",9976733,"Vehicles"
"ICEV-D",2044,"SSP1",1798465,"Vehicles"
"ICEV-G",2044,"SSP1",143745808,"Vehicles"
"CNG",2045,"SSP1",352897,"Vehicles"
"EV",2045,"SSP1",137255041,"Vehicles"
"FCV",2045,"SSP1",103988,"Vehicles"
"FFV",2045,"SSP1",19016062,"Vehicles"
"HEV",2045,"SSP1",10048550,"Vehicles"
"ICEV-D",2045,"SSP1",1804151,"Vehicles"
"ICEV-G",2045,"SSP1",139633992,"Vehicles"
"CNG",2046,"SSP1",349520,"Vehicles"
"EV",2046,"SSP1",142655612,"Vehicles"
"FCV",2046,"SSP1",105482,"Vehicles"
"FFV",2046,"SSP1",18927888,"Vehicles"
"HEV",2046,"SSP1",10134615,"Vehicles"
"ICEV-D",2046,"SSP1",1819939,"Vehicles"
"ICEV-G",2046,"SSP1",135635023,"Vehicles"
"CNG",2047,"SSP1",343825,"Vehicles"
"EV",2047,"SSP1",147543878,"Vehicles"
"FCV",2047,"SSP1",106873,"Vehicles"
"FFV",2047,"SSP1",18996903,"Vehicles"
"HEV",2047,"SSP1",10208014,"Vehicles"
"ICEV-D",2047,"SSP1",1844509,"Vehicles"
"ICEV-G",2047,"SSP1",131997498,"Vehicles"
"CNG",2048,"SSP1",344252,"Vehicles"
"EV",2048,"SSP1",152078606,"Vehicles"
"FCV",2048,"SSP1",107932,"Vehicles"
"FFV",2048,"SSP1",19126405,"Vehicles"
"HEV",2048,"SSP1",10278515,"Vehicles"
"ICEV-D",2048,"SSP1",1866045,"Vehicles"
"ICEV-G",2048,"SSP1",128653181,"Vehicles"
"CNG",2049,"SSP1",346659,"Vehicles"
"EV",2049,"SSP1",156227853,"Vehicles"
"FCV",2049,"SSP1",108675,"Vehicles"
"FFV",2049,"SSP1",19261107,"Vehicles"
"HEV",2049,"SSP1",10346487,"Vehicles"
"ICEV-D",2049,"SSP1",1879350,"Vehicles"
"ICEV-G",2049,"SSP1",125698216,"Vehicles"
"CNG",2050,"SSP1",348914,"Vehicles"
"EV",2050,"SSP1",160305526,"Vehicles"
"FCV",2050,"SSP1",109414,"Vehicles"
"FFV",2050,"SSP1",19382756,"Vehicles"
"HEV",2050,"SSP1",10424610,"Vehicles"
"ICEV-D",2050,"SSP1",1890762,"Vehicles"
"ICEV-G",2050,"SSP1",122819779,"Vehicles"
"CNG",2019,"SSP2",245802,"Vehicles"
"EV",2019,"SSP2",1905279,"Vehicles"
"FCV",2019,"SSP2",16334,"Vehicles"
"FFV",2019,"SSP2",19182778,"Vehicles"
"HEV",2019,"SSP2",5199835,"Vehicles"
"ICEV-D",2019,"SSP2",1268430,"Vehicles"
"ICEV-G",2019,"SSP2",230737552,"Vehicles"
"CNG",2020,"SSP2",259299,"Vehicles"
"EV",2020,"SSP2",2732659,"Vehicles"
"FCV",2020,"SSP2",22682,"Vehicles"
"FFV",2020,"SSP2",19474044,"Vehicles"
"HEV",2020,"SSP2",5655746,"Vehicles"
"ICEV-D",2020,"SSP2",1312084,"Vehicles"
"ICEV-G",2020,"SSP2",232245227,"Vehicles"
"CNG",2021,"SSP2",271123,"Vehicles"
"EV",2021,"SSP2",3607463,"Vehicles"
"FCV",2021,"SSP2",28798,"Vehicles"
"FFV",2021,"SSP2",19705406,"Vehicles"
"HEV",2021,"SSP2",6080464,"Vehicles"
"ICEV-D",2021,"SSP2",1351834,"Vehicles"
"ICEV-G",2021,"SSP2",233685969,"Vehicles"
"CNG",2022,"SSP2",281568,"Vehicles"
"EV",2022,"SSP2",4713965,"Vehicles"
"FCV",2022,"SSP2",34656,"Vehicles"
"FFV",2022,"SSP2",19887148,"Vehicles"
"HEV",2022,"SSP2",6472810,"Vehicles"
"ICEV-D",2022,"SSP2",1387795,"Vehicles"
"ICEV-G",2022,"SSP2",234982438,"Vehicles"
"CNG",2023,"SSP2",291078,"Vehicles"
"EV",2023,"SSP2",6166675,"Vehicles"
"FCV",2023,"SSP2",40306,"Vehicles"
"FFV",2023,"SSP2",20039762,"Vehicles"
"HEV",2023,"SSP2",6840298,"Vehicles"
"ICEV-D",2023,"SSP2",1421412,"Vehicles"
"ICEV-G",2023,"SSP2",235990181,"Vehicles"
"CNG",2024,"SSP2",299717,"Vehicles"
"EV",2024,"SSP2",7772172,"Vehicles"
"FCV",2024,"SSP2",45749,"Vehicles"
"FFV",2024,"SSP2",20171664,"Vehicles"
"HEV",2024,"SSP2",7183333,"Vehicles"
"ICEV-D",2024,"SSP2",1452729,"Vehicles"
"ICEV-G",2024,"SSP2",236893669,"Vehicles"
"CNG",2025,"SSP2",307520,"Vehicles"
"EV",2025,"SSP2",9624666,"Vehicles"
"FCV",2025,"SSP2",50981,"Vehicles"
"FFV",2025,"SSP2",20284259,"Vehicles"
"HEV",2025,"SSP2",7503446,"Vehicles"
"ICEV-D",2025,"SSP2",1482290,"Vehicles"
"ICEV-G",2025,"SSP2",237595193,"Vehicles"
"CNG",2026,"SSP2",314077,"Vehicles"
"EV",2026,"SSP2",11855379,"Vehicles"
"FCV",2026,"SSP2",55851,"Vehicles"
"FFV",2026,"SSP2",20340792,"Vehicles"
"HEV",2026,"SSP2",7787234,"Vehicles"
"ICEV-D",2026,"SSP2",1506941,"Vehicles"
"ICEV-G",2026,"SSP2",237704619,"Vehicles"
"CNG",2027,"SSP2",319902,"Vehicles"
"EV",2027,"SSP2",14779673,"Vehicles"
"FCV",2027,"SSP2",60496,"Vehicles"
"FFV",2027,"SSP2",20370117,"Vehicles"
"HEV",2027,"SSP2",8050364,"Vehicles"
"ICEV-D",2027,"SSP2",1531501,"Vehicles"
"ICEV-G",2027,"SSP2",237169389,"Vehicles"
"CNG",2028,"SSP2",324963,"Vehicles"
"EV",2028,"SSP2",18381255,"Vehicles"
"FCV",2028,"SSP2",64897,"Vehicles"
"FFV",2028,"SSP2",20378407,"Vehicles"
"HEV",2028,"SSP2",8293834,"Vehicles"
"ICEV-D",2028,"SSP2",1554564,"Vehicles"
"ICEV-G",2028,"SSP2",236000077,"Vehicles"
"CNG",2029,"SSP2",329553,"Vehicles"
"EV",2029,"SSP2",22887710,"Vehicles"
"FCV",2029,"SSP2",69108,"Vehicles"
"FFV",2029,"SSP2",20366468,"Vehicles"
"HEV",2029,"SSP2",8524957,"Vehicles"
"ICEV-D",2029,"SSP2",1578831,"Vehicles"
"ICEV-G",2029,"SSP2",233957916,"Vehicles"
"CNG",2030,"SSP2",333518,"Vehicles"
"EV",2030,"SSP2",28057685,"Vehicles"
"FCV",2030,"SSP2",73068,"Vehicles"
"FFV",2030,"SSP2",20316156,"Vehicles"
"HEV",2030,"SSP2",8738718,"Vehicles"
"ICEV-D",2030,"SSP2",1600121,"Vehicles"
"ICEV-G",2030,"SSP2",231311816,"Vehicles"
"CNG",2031,"SSP2",336914,"Vehicles"
"EV",2031,"SSP2",34118649,"Vehicles"
"FCV",2031,"SSP2",76797,"Vehicles"
"FFV",2031,"SSP2",20241814,"Vehicles"
"HEV",2031,"SSP2",8936509,"Vehicles"
"ICEV-D",2031,"SSP2",1621061,"Vehicles"
"ICEV-G",2031,"SSP2",227557627,"Vehicles"
"CNG",2032,"SSP2",339992,"Vehicles"
"EV",2032,"SSP2",41058799,"Vehicles"
"FCV",2032,"SSP2",80301,"Vehicles"
"FFV",2032,"SSP2",20191094,"Vehicles"
"HEV",2032,"SSP2",9120628,"Vehicles"
"ICEV-D",2032,"SSP2",1641511,"Vehicles"
"ICEV-G",2032,"SSP2",222915309,"Vehicles"
"CNG",2033,"SSP2",342930,"Vehicles"
"EV",2033,"SSP2",48888654,"Vehicles"
"FCV",2033,"SSP2",83609,"Vehicles"
"FFV",2033,"SSP2",20166484,"Vehicles"
"HEV",2033,"SSP2",9295155,"Vehicles"
"ICEV-D",2033,"SSP2",1661696,"Vehicles"
"ICEV-G",2033,"SSP2",217367393,"Vehicles"
"CNG",2034,"SSP2",345604,"Vehicles"
"EV",2034,"SSP2",57606969,"Vehicles"
"FCV",2034,"SSP2",86742,"Vehicles"
"FFV",2034,"SSP2",20134933,"Vehicles"
"HEV",2034,"SSP2",9462566,"Vehicles"
"ICEV-D",2034,"SSP2",1682567,"Vehicles"
"ICEV-G",2034,"SSP2",210944831,"Vehicles"
"CNG",2035,"SSP2",348178,"Vehicles"
"EV",2035,"SSP2",67199796,"Vehicles"
"FCV",2035,"SSP2",89703,"Vehicles"
"FFV",2035,"SSP2",20102424,"Vehicles"
"HEV",2035,"SSP2",9622070,"Vehicles"
"ICEV-D",2035,"SSP2",1704785,"Vehicles"
"ICEV-G",2035,"SSP2",203655530,"Vehicles"
"CNG",2036,"SSP2",350074,"Vehicles"
"EV",2036,"SSP2",76328309,"Vehicles"
"FCV",2036,"SSP2",92282,"Vehicles"
"FFV",2036,"SSP2",20105124,"Vehicles"
"HEV",2036,"SSP2",9738677,"Vehicles"
"ICEV-D",2036,"SSP2",1724224,"Vehicles"
"ICEV-G",2036,"SSP2",196297010,"Vehicles"
"CNG",2037,"SSP2",352118,"Vehicles"
"EV",2037,"SSP2",85275383,"Vehicles"
"FCV",2037,"SSP2",94678,"Vehicles"
"FFV",2037,"SSP2",20105860,"Vehicles"
"HEV",2037,"SSP2",9844180,"Vehicles"
"ICEV-D",2037,"SSP2",1745136,"Vehicles"
"ICEV-G",2037,"SSP2",189131562,"Vehicles"
"CNG",2038,"SSP2",354352,"Vehicles"
"EV",2038,"SSP2",93934259,"Vehicles"
"FCV",2038,"SSP2",96863,"Vehicles"
"FFV",2038,"SSP2",20038113,"Vehicles"
"HEV",2038,"SSP2",9935328,"Vehicles"
"ICEV-D",2038,"SSP2",1767720,"Vehicles"
"ICEV-G",2038,"SSP2",182335502,"Vehicles"
