"Technology","Year","Scenario","Value","Unit"
"EV",2030,"SSP5",31523160,"Vehicles"
"FCV",2030,"SSP5",80460,"Vehicles"
"FFV",2030,"SSP5",21563084,"Vehicles"
"HEV",2030,"SSP5",9493855,"Vehicles"
"ICEV-D",2030,"SSP5",1718762,"Vehicles"
"ICEV-G",2030,"SSP5",247570253,"Vehicles"
"CNG",2031,"SSP5",362396,"Vehicles"
"EV",2031,"SSP5",38600950,"Vehicles"
"FCV",2031,"SSP5",85012,"Vehicles"
"FFV",2031,"SSP5",21629690,"Vehicles"
"HEV",2031,"SSP5",9773640,"Vehicles"
"ICEV-D",2031,"SSP5",1753230,"Vehicles"
"ICEV-G",2031,"SSP5",244986223,"Vehicles"
"CNG",2032,"SSP5",368056,"Vehicles"
"EV",2032,"SSP5",46737733,"Vehicles"
"FCV",2032,"SSP5",89343,"Vehicles"
"FFV",2032,"SSP5",21720670,"Vehicles"
"HEV",2032,"SSP5",10039354,"Vehicles"
"ICEV-D",2032,"SSP5",1787313,"Vehicles"
"ICEV-G",2032,"SSP5",241333790,"Vehicles"
"CNG",2033,"SSP5",373584,"Vehicles"
"EV",2033,"SSP5",55951674,"Vehicles"
"FCV",2033,"SSP5",93478,"Vehicles"
"FFV",2033,"SSP5",21838499,"Vehicles"
"HEV",2033,"SSP5",10295172,"Vehicles"
"ICEV-D",2033,"SSP5",1821231,"Vehicles"
"ICEV-G",2033,"SSP5",236587761,"Vehicles"
"CNG",2034,"SSP5",378860,"Vehicles"
"EV",2034,"SSP5",66250094,"Vehicles"
"FCV",2034,"SSP5",97435,"Vehicles"
"FFV",2034,"SSP5",21950110,"Vehicles"
"HEV",2034,"SSP5",10543638,"Vehicles"
"ICEV-D",2034,"SSP5",1855925,"Vehicles"
"ICEV-G",2034,"SSP5",230770476,"Vehicles"
"CNG",2035,"SSP5",384042,"Vehicles"
"EV",2035,"SSP5",77626322,"Vehicles"
"FCV",2035,"SSP5",101226,"Vehicles"
"FFV",2035,"SSP5",22061461,"Vehicles"
"HEV",2035,"SSP5",10784066,"Vehicles"
"ICEV-D",2035,"SSP5",1892047,"Vehicles"
"ICEV-G",2035,"SSP5",223882498,"Vehicles"
"CNG",2036,"SSP5",388152,"Vehicles"
"EV",2036,"SSP5",88353620,"Vehicles"
"FCV",2036,"SSP5",104502,"Vehicles"
"FFV",2036,"SSP5",22186638,"Vehicles"
"HEV",2036,"SSP5",10967687,"Vehicles"
"ICEV-D",2036,"SSP5",1923390,"Vehicles"
"ICEV-G",2036,"SSP5",216753313,"Vehicles"
"CNG",2037,"SSP5",392419,"Vehicles"
"EV",2037,"SSP5",98933326,"Vehicles"
"FCV",2037,"SSP5",107594,"Vehicles"
"FFV",2037,"SSP5",22310691,"Vehicles"
"HEV",2037,"SSP5",11140151,"Vehicles"
"ICEV-D",2037,"SSP5",1956316,"Vehicles"
"ICEV-G",2037,"SSP5",209782431,"Vehicles"
"CNG",2038,"SSP5",396895,"Vehicles"
"EV",2038,"SSP5",109253616,"Vehicles"
"FCV",2038,"SSP5",110478,"Vehicles"
"FFV",2038,"SSP5",22367184,"Vehicles"
"HEV",2038,"SSP5",11298265,"Vehicles"
"ICEV-D",2038,"SSP5",1991015,"Vehicles"
"ICEV-G",2038,"SSP5",203151126,"Vehicles"
"CNG",2039,"SSP5",401805,"Vehicles"
"EV",2039,"SSP5",119126574,"Vehicles"
"FCV",2039,"SSP5",113088,"Vehicles"
"FFV",2039,"SSP5",22456430,"Vehicles"
"HEV",2039,"SSP5",11444585,"Vehicles"
"ICEV-D",2039,"SSP5",2024052,"Vehicles"
"ICEV-G",2039,"SSP5",196947681,"Vehicles"
"CNG",2040,"SSP5",405382,"Vehicles"
"EV",2040,"SSP5",128585130,"Vehicles"
"FCV",2040,"SSP5",115497,"Vehicles"
"FFV",2040,"SSP5",22617577,"Vehicles"
"HEV",2040,"SSP5",11582706,"Vehicles"
"ICEV-D",2040,"SSP5",2051156,"Vehicles"
"ICEV-G",2040,"SSP5",191102397,"Vehicles"
"CNG",2041,"SSP5",410354,"Vehicles"
"EV",2041,"SSP5",138027158,"Vehicles"
"FCV",2041,"SSP5",118056,"Vehicles"
"FFV",2041,"SSP5",22787463,"Vehicles"
"HEV",2041,"SSP5",11746052,"Vehicles"
"ICEV-D",2041,"SSP5",2082860,"Vehicles"
"ICEV-G",2041,"SSP5",185736536,"Vehicles"
"CNG",2042,"SSP5",415493,"Vehicles"
"EV",2042,"SSP5",147119803,"Vehicles"
"FCV",2042,"SSP5",120608,"Vehicles"
"FFV",2042,"SSP5",22867464,"Vehicles"
"HEV",2042,"SSP5",11915608,"Vehicles"
"ICEV-D",2042,"SSP5",2114805,"Vehicles"
"ICEV-G",2042,"SSP5",180803354,"Vehicles"
"CNG",2043,"SSP5",420839,"Vehicles"
"EV",2043,"SSP5",155854507,"Vehicles"
"FCV",2043,"SSP5",123155,"Vehicles"
"FFV",2043,"SSP5",22981033,"Vehicles"
"HEV",2043,"SSP5",12085042,"Vehicles"
"ICEV-D",2043,"SSP5",2149330,"Vehicles"
"ICEV-G",2043,"SSP5",176191854,"Vehicles"
"CNG",2044,"SSP5",426203,"Vehicles"
"EV",2044,"SSP5",164189869,"Vehicles"
"FCV",2044,"SSP5",125683,"Vehicles"
"FFV",2044,"SSP5",23092201,"Vehicles"
"HEV",2044,"SSP5",12256533,"Vehicles"
"ICEV-D",2044,"SSP5",2184320,"Vehicles"
"ICEV-G",2044,"SSP5",171979572,"Vehicles"
"CNG",2045,"SSP5",428976,"Vehicles"
"EV",2045,"SSP5",172090933,"Vehicles"
"FCV",2045,"SSP5",128176,"Vehicles"
"FFV",2045,"SSP5",23202972,"Vehicles"
"HEV",2045,"SSP5",12425800,"Vehicles"
"ICEV-D",2045,"SSP5",2208163,"Vehicles"
"ICEV-G",2045,"SSP5",168218000,"Vehicles"
"CNG",2046,"SSP5",429141,"Vehicles"
"EV",2046,"SSP5",179823194,"Vehicles"
"FCV",2046,"SSP5",130780,"Vehicles"
"FFV",2046,"SSP5",23312122,"Vehicles"
"HEV",2046,"SSP5",12615860,"Vehicles"
"ICEV-D",2046,"SSP5",2243276,"Vehicles"
"ICEV-G",2046,"SSP5",164670184,"Vehicles"
"CNG",2047,"SSP5",427012,"Vehicles"
"EV",2047,"SSP5",186997287,"Vehicles"
"FCV",2047,"SSP5",133279,"Vehicles"
"FFV",2047,"SSP5",23579697,"Vehicles"
"HEV",2047,"SSP5",12793242,"Vehicles"
"ICEV-D",2047,"SSP5",2287312,"Vehicles"
"ICEV-G",2047,"SSP5",161528269,"Vehicles"
"CNG",2048,"SSP5",431019,"Vehicles"
"EV",2048,"SSP5",193771070,"Vehicles"
"FCV",2048,"SSP5",135459,"Vehicles"
"FFV",2048,"SSP5",23908920,"Vehicles"
"HEV",2048,"SSP5",12967726,"Vehicles"
"ICEV-D",2048,"SSP5",2328452,"Vehicles"
"ICEV-G",2048,"SSP5",158725010,"Vehicles"
"CNG",2049,"SSP5",437019,"Vehicles"
"EV",2049,"SSP5",200111426,"Vehicles"
"FCV",2049,"SSP5",137321,"Vehicles"
"FFV",2049,"SSP5",24244470,"Vehicles"
"HEV",2049,"SSP5",13139617,"Vehicles"
"ICEV-D",2049,"SSP5",2361493,"Vehicles"
"ICEV-G",2049,"SSP5",156357850,"Vehicles"
"CNG",2050,"SSP5",442827,"Vehicles"
"EV",2050,"SSP5",206461001,"Vehicles"
"FCV",2050,"SSP5",139178,"Vehicles"
"FFV",2050,"SSP5",24562336,"Vehicles"
"HEV",2050,"SSP5",13326227,"Vehicles"
"ICEV-D",2050,"SSP5",2391944,"Vehicles"
"ICEV-G",2050,"SSP5",153987233,"Vehicles"
