"Year","Scenario","Default","Low_scenario","min","upper","max"
2050,"SSP1-26",0.895631813387551,0.0837601988654206,0.081091451299145,1,1
2050,"SSP2-26",0.829578747543301,0.0263920450108302,0.0276202796890812,1,1
2050,"SSP5-26",0.873925690240867,0.141729745011007,0.136309443717806,1,1
