"Technology","Year","Scenario","Unit","Value"
"Coal",2030,"SSP5-2.6","EJ",9.390002
"Coal (CCS)",2030,"SSP5-2.6","EJ",0.1171065
"Gas",2030,"SSP5-2.6","EJ",6.07159
"Gas (CCS)",2030,"SSP5-2.6","EJ",0.207631
"Liquids",2030,"SSP5-2.6","EJ",0.1756387
"Liquids (CCS)",2030,"SSP5-2.6","EJ",0.0147038
"Nuclear",2030,"SSP5-2.6","EJ",4.0324
"Other renewable",2030,"SSP5-2.6","EJ",6.174015631394
"Biomass",2040,"SSP5-2.6","EJ",0.285889
"Biomass (CCS)",2040,"SSP5-2.6","EJ",0.37063
"Coal",2040,"SSP5-2.6","EJ",6.921318
"Coal (CCS)",2040,"SSP5-2.6","EJ",1.348687
"Gas",2040,"SSP5-2.6","EJ",6.689067
"Gas (CCS)",2040,"SSP5-2.6","EJ",1.53186
"Liquids",2040,"SSP5-2.6","EJ",0.1610762
"Liquids (CCS)",2040,"SSP5-2.6","EJ",0.117311
"Nuclear",2040,"SSP5-2.6","EJ",6.06075
"Other renewable",2040,"SSP5-2.6","EJ",8.015682629074
"Biomass",2050,"SSP5-2.6","EJ",0.1609014
"Biomass (CCS)",2050,"SSP5-2.6","EJ",1.615918
"Coal",2050,"SSP5-2.6","EJ",1.911753
"Coal (CCS)",2050,"SSP5-2.6","EJ",4.21853
"Gas",2050,"SSP5-2.6","EJ",5.704771
"Gas (CCS)",2050,"SSP5-2.6","EJ",4.83073
"Liquids",2050,"SSP5-2.6","EJ",0.0770564
"Liquids (CCS)",2050,"SSP5-2.6","EJ",0.298756
"Nuclear",2050,"SSP5-2.6","EJ",9.536169
"Other renewable",2050,"SSP5-2.6","EJ",11.37822863234
