"Sector","Phase","Year","Unit","Scenario","Sens_analysis","Value"
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP1","Default",63094859326.5435
"Energy","Fuel Production",2050,"kg CO2 eq","SSP1","Default",11030929191215.6
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP1","Default",46173554244434.3
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP1","Default",3583252664027.74
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP2","Default",65715058272.0704
"Energy","Fuel Production",2050,"kg CO2 eq","SSP2","Default",11394704565398.8
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP2","Default",47560496952584.5
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP2","Default",3728506951717.24
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP5","Default",76428646206.5979
"Energy","Fuel Production",2050,"kg CO2 eq","SSP5","Default",12604300501512.8
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP5","Default",52755163841666.5
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP5","Default",4327775942401.01
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP1","max",95939227036.289
"Energy","Fuel Production",2050,"kg CO2 eq","SSP1","max",11248191911433.2
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP1","max",46855778009239.5
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP1","max",5073727636821.72
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP2","max",100142197883.339
"Energy","Fuel Production",2050,"kg CO2 eq","SSP2","max",11642644864938.9
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP2","max",48356960228623.3
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP2","max",5289033673955.94
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP5","max",114920129057.969
"Energy","Fuel Production",2050,"kg CO2 eq","SSP5","max",12763246526633.8
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP5","max",53186825003140.4
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP5","max",6052926522113.29
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP1","min",29490974836.6725
"Energy","Fuel Production",2050,"kg CO2 eq","SSP1","min",11011568802632.1
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP1","min",46175097454972.7
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP1","min",2661551029160.69
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP2","min",30716783870.6169
"Energy","Fuel Production",2050,"kg CO2 eq","SSP2","min",11372305766029.3
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP2","min",47562036503631.1
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP2","min",2778874509603.28
"Manufacturing","Battery production",2050,"kg CO2 eq","SSP5","min",35733817213.2304
"Energy","Fuel Production",2050,"kg CO2 eq","SSP5","min",12584479609499.6
"Transportation","Fuel Use",2050,"kg CO2 eq","SSP5","min",52756559875630.5
"Manufacturing","Vehicle production",2050,"kg CO2 eq","SSP5","min",3281595085203.69
