"Technology","Size","Model_year","Scenario","Simulation","Value","Unit"
"ICEV-G","Car",2022,"Default","Baseline",1597.93270774826,"kg"
"ICEV-G","Light truck",2022,"Default","Baseline",2107.37503746262,"kg"
"ICEV-G","Car",2023,"Default","Baseline",1597.93270774827,"kg"
"ICEV-G","Light truck",2023,"Default","Baseline",2107.37503746264,"kg"
"ICEV-G","Car",2024,"Default","Baseline",1597.93270774828,"kg"
"ICEV-G","Light truck",2024,"Default","Baseline",2107.37503746265,"kg"
"ICEV-G","Car",2025,"Default","Baseline",1597.93270774829,"kg"
"ICEV-G","Light truck",2025,"Default","Baseline",2107.37503746266,"kg"
"ICEV-G","Car",2026,"Default","Baseline",1597.9327077483,"kg"
"ICEV-G","Light truck",2026,"Default","Baseline",2107.37503746268,"kg"
"ICEV-G","Car",2027,"Default","Baseline",1597.93270774831,"kg"
"ICEV-G","Light truck",2027,"Default","Baseline",2107.37503746269,"kg"
"ICEV-G","Car",2028,"Default","Baseline",1597.93270774832,"kg"
"ICEV-G","Light truck",2028,"Default","Baseline",2107.37503746271,"kg"
"ICEV-G","Car",2029,"Default","Baseline",1597.93270774832,"kg"
"ICEV-G","Light truck",2029,"Default","Baseline",2107.37503746272,"kg"
"ICEV-G","Car",2030,"Default","Baseline",1597.93270774833,"kg"
"ICEV-G","Light truck",2030,"Default","Baseline",2107.37503746273,"kg"
"ICEV-G","Car",2031,"Default","Baseline",1597.93270774834,"kg"
"ICEV-G","Light truck",2031,"Default","Baseline",2107.37503746274,"kg"
"ICEV-G","Car",2032,"Default","Baseline",1597.93270774835,"kg"
"ICEV-G","Light truck",2032,"Default","Baseline",2107.37503746276,"kg"
"ICEV-G","Car",2033,"Default","Baseline",1597.93270774836,"kg"
"ICEV-G","Light truck",2033,"Default","Baseline",2107.37503746277,"kg"
"ICEV-G","Car",2034,"Default","Baseline",1597.93270774837,"kg"
"ICEV-G","Light truck",2034,"Default","Baseline",2107.37503746278,"kg"
"ICEV-G","Car",2035,"Default","Baseline",1597.93270774838,"kg"
"ICEV-G","Light truck",2035,"Default","Baseline",2107.3750374628,"kg"
"ICEV-G","Car",2036,"Default","Baseline",1597.93270774838,"kg"
"ICEV-G","Light truck",2036,"Default","Baseline",2107.37503746281,"kg"
"ICEV-G","Car",2037,"Default","Baseline",1597.93270774839,"kg"
"ICEV-G","Light truck",2037,"Default","Baseline",2107.37503746282,"kg"
"ICEV-G","Car",2038,"Default","Baseline",1597.9327077484,"kg"
"ICEV-G","Light truck",2038,"Default","Baseline",2107.37503746284,"kg"
"ICEV-G","Car",2039,"Default","Baseline",1597.93270774841,"kg"
"ICEV-G","Light truck",2039,"Default","Baseline",2107.37503746285,"kg"
"ICEV-G","Car",2040,"Default","Baseline",1597.93270774842,"kg"
"ICEV-G","Light truck",2040,"Default","Baseline",2107.37503746286,"kg"
"ICEV-G","Car",2041,"Default","Baseline",1597.93270774843,"kg"
"ICEV-G","Light truck",2041,"Default","Baseline",2107.37503746288,"kg"
"ICEV-G","Car",2042,"Default","Baseline",1597.93270774844,"kg"
"ICEV-G","Light truck",2042,"Default","Baseline",2107.37503746289,"kg"
"ICEV-G","Car",2043,"Default","Baseline",1597.93270774845,"kg"
"ICEV-G","Light truck",2043,"Default","Baseline",2107.3750374629,"kg"
"ICEV-G","Car",2044,"Default","Baseline",1597.93270774845,"kg"
"ICEV-G","Light truck",2044,"Default","Baseline",2107.37503746292,"kg"
"ICEV-G","Car",2045,"Default","Baseline",1597.93270774846,"kg"
"ICEV-G","Light truck",2045,"Default","Baseline",2107.37503746293,"kg"
"ICEV-G","Car",2046,"Default","Baseline",1597.93270774847,"kg"
"ICEV-G","Light truck",2046,"Default","Baseline",2107.37503746294,"kg"
"ICEV-G","Car",2047,"Default","Baseline",1597.93270774848,"kg"
"ICEV-G","Light truck",2047,"Default","Baseline",2107.37503746296,"kg"
"ICEV-G","Car",2048,"Default","Baseline",1597.93270774849,"kg"
"ICEV-G","Light truck",2048,"Default","Baseline",2107.37503746297,"kg"
"ICEV-G","Car",2049,"Default","Baseline",1597.9327077485,"kg"
