"Technology","Year","Scenario","Value","rel_value"
"PHEV40",2039,"SSP1,2 and 5",2100655,0.0241632572589098
"BEV100",2040,"SSP1,2 and 5",368446,0.00387030801074324
"BEV300",2040,"SSP1,2 and 5",91711076,0.963370784637863
"PHEV20",2040,"SSP1,2 and 5",989979,0.0103991457477285
"PHEV40",2040,"SSP1,2 and 5",2128607,0.0223597616036655
"BEV100",2041,"SSP1,2 and 5",370037,0.00358880395427254
"BEV300",2041,"SSP1,2 and 5",99581779,0.965793913172721
"PHEV20",2041,"SSP1,2 and 5",1002627,0.00972397825693219
"PHEV40",2041,"SSP1,2 and 5",2154282,0.020893304616074
"BEV100",2042,"SSP1,2 and 5",371933,0.00335881116400837
"BEV300",2042,"SSP1,2 and 5",107167167,0.967793330881501
"PHEV20",2042,"SSP1,2 and 5",1015513,0.00917078183865275
"PHEV40",2042,"SSP1,2 and 5",2178912,0.0196770761158375
"BEV100",2043,"SSP1,2 and 5",374127,0.00316912187132789
"BEV300",2043,"SSP1,2 and 5",114448882,0.969463457850477
"PHEV20",2043,"SSP1,2 and 5",1028189,0.00870949235890154
"PHEV40",2043,"SSP1,2 and 5",2202640,0.0186579279192939
"BEV100",2044,"SSP1,2 and 5",376612,0.00301243553115445
"BEV300",2044,"SSP1,2 and 5",121375850,0.970858398468644
"PHEV20",2044,"SSP1,2 and 5",1040917,0.00832606331126649
"PHEV40",2044,"SSP1,2 and 5",2225728,0.0178031026889354
"BEV100",2045,"SSP1,2 and 5",378083,0.00287331356420928
"BEV300",2045,"SSP1,2 and 5",127905216,0.972039980813519
"PHEV20",2045,"SSP1,2 and 5",1053040,0.00800277747387462
"PHEV40",2045,"SSP1,2 and 5",2247977,0.0170839281483973
"BEV100",2046,"SSP1,2 and 5",380110,0.00275629600920882
"BEV300",2046,"SSP1,2 and 5",134189337,0.973048680780503
"PHEV20",2046,"SSP1,2 and 5",1065170,0.00772387945628622
"PHEV40",2046,"SSP1,2 and 5",2271471,0.0164711437540016
"BEV100",2047,"SSP1,2 and 5",383168,0.00266656298307871
"BEV300",2047,"SSP1,2 and 5",139941367,0.973887352397988
"PHEV20",2047,"SSP1,2 and 5",1076020,0.0074882952152903
"PHEV40",2047,"SSP1,2 and 5",2293032,0.0159577894036426
"BEV100",2048,"SSP1,2 and 5",385369,0.00258455671145937
"BEV300",2048,"SSP1,2 and 5",145320861,0.974624338264377
"PHEV20",2048,"SSP1,2 and 5",1086146,0.00728446225286609
"PHEV40",2048,"SSP1,2 and 5",2312110,0.015506642771298
"BEV100",2049,"SSP1,2 and 5",387950,0.00251751078163982
"BEV300",2049,"SSP1,2 and 5",150291804,0.975283508086349
"PHEV20",2049,"SSP1,2 and 5",1093543,0.00709629151356298
"PHEV40",2049,"SSP1,2 and 5",2327334,0.0151026896184481
"BEV100",2050,"SSP1,2 and 5",390757,0.00245734983375878
"BEV300",2050,"SSP1,2 and 5",155178954,0.975872413839705
"PHEV20",2050,"SSP1,2 and 5",1101039,0.00692409349957118
"PHEV40",2050,"SSP1,2 and 5",2344867,0.0147461428269652
