"Year","Unit","Scenario","Default","max","min"
2037,"kg CO2 eq","SSP1",1736048892364.35,1799799307891.35,1704204081712.39
2037,"kg CO2 eq","SSP2",1805174584400.34,1875641771675.36,1772321762576.63
2037,"kg CO2 eq","SSP5",2051747748516.08,2108962848917.5,2016264271830.28
2038,"kg CO2 eq","SSP1",1749613803492.5,1816740557858.73,1716924707620.19
2038,"kg CO2 eq","SSP2",1819857337201.8,1894156362236.24,1786073450544.75
2038,"kg CO2 eq","SSP5",2078199824512.17,2139179723427.07,2041510887431.75
2039,"kg CO2 eq","SSP1",1761281719660.31,1832993180293.03,1728274713416.82
2039,"kg CO2 eq","SSP2",1832698768809.37,1912033374399.48,1798511776086.31
2039,"kg CO2 eq","SSP5",2102895278094.8,2168906366409.94,2065516669659.2
2040,"kg CO2 eq","SSP1",1773321935025.94,1849707353216.83,1739791949985.2
2040,"kg CO2 eq","SSP2",1845995633394.89,1930438901370.17,1811201859453.57
2040,"kg CO2 eq","SSP5",2128189148469.35,2199373668342.02,2089905712946.84
2041,"kg CO2 eq","SSP1",1786812086084.39,1865476807446.36,1751860608109.64
2041,"kg CO2 eq","SSP2",1862111887631.47,1949585167767.83,1825816638772.55
2041,"kg CO2 eq","SSP5",2163595784984.96,2239257610991.62,2123460691730.54
2042,"kg CO2 eq","SSP1",1802043395099.27,1883096805418.6,1765735019778.18
2042,"kg CO2 eq","SSP2",1879424808728.04,1969791519844.02,1841709491327.48
2042,"kg CO2 eq","SSP5",2197354315812.25,2276082195294.47,2155469198903.22
2043,"kg CO2 eq","SSP1",1818210023166.23,1901008604225.59,1780504307907.17
2043,"kg CO2 eq","SSP2",1897714306187.79,1990328915175.15,1858539626275.37
2043,"kg CO2 eq","SSP5",2232160267288.46,2313281436915.87,2188480212490.04
2044,"kg CO2 eq","SSP1",1834746702308.06,1919359570999.53,1795718124580.96
2044,"kg CO2 eq","SSP2",1916434283546.8,2011339669087.67,1875871344971.98
2044,"kg CO2 eq","SSP5",2267482885649.37,2351075697248.89,2222073512496.11
2045,"kg CO2 eq","SSP1",1851424509419.3,1937637725122.85,1811220134706.07
2045,"kg CO2 eq","SSP2",1935329319675.81,2032284473758.15,1893524502535.12
