"Component","Weight","Relative","Size","Technology","Unit","y_min","y_max"
"Battery Lead-Acid",24.267191795,0.0119132158344657,"Light truck","FFV","kg",24.267191795,17.7469788943696
"Fluids",56.24545388,0.0276119395041823,"Light truck","FFV","kg",56.24545388,45.586033185
"Wheels",54.4310844,0.0267212317782409,"Light truck","FFV","kg",54.4310844,69.490351084
"Total",2036.99757749653,1,"Light truck","FFV","kg",1760.99790572969,2388.91115919124
"Glider",1773.54067390765,0.705263855025435,"Light truck","ICEV-D","kg",1726.52773027783,1882.85424270196
"Powertrain",517.557926830246,0.205811405424964,"Light truck","ICEV-D","kg",550.478398395284,349.103306891786
"Transmission",88.6770345283037,0.0352631930824902,"Light truck","ICEV-D","kg",102.769506593076,149.938452584084
"Battery Lead-Acid",24.267191795,0.00965005961677455,"Light truck","ICEV-D","kg",24.267191795,17.7469788943696
"Fluids",56.24545388,0.022366493317384,"Light truck","ICEV-D","kg",56.24545388,45.586033185
"Wheels",54.4310844,0.0216449935329523,"Light truck","ICEV-D","kg",54.4310844,69.490351084
"Total",2514.7193653412,1,"Light truck","ICEV-D","kg",2514.7193653412,2514.7193653412
"Glider",1417.51592560837,0.695884934409445,"Light truck","CNG","kg",1179.70265078702,1783.40468046264
"Powertrain",413.662124867021,0.20307443142638,"Light truck","CNG","kg",376.131129781163,330.66418916334
"Transmission",70.8757969461373,0.034794247047286,"Light truck","CNG","kg",70.2203950865104,142.018926401894
"Battery Lead-Acid",24.267191795,0.0119132158344657,"Light truck","CNG","kg",24.267191795,17.7469788943696
"Fluids",56.24545388,0.0276119395041823,"Light truck","CNG","kg",56.24545388,45.586033185
"Wheels",54.4310844,0.0267212317782409,"Light truck","CNG","kg",54.4310844,69.490351084
"Total",2036.99757749653,1,"Light truck","CNG","kg",1760.99790572969,2388.91115919124
"Glider",1430.85482478669,0.651203311013194,"Light truck","HEV","kg",1192.79765278295,1430.85482478669
"Powertrain",384.047715945985,0.174785827240275,"Light truck","HEV","kg",355.73067842986,384.047715945985
"Transmission",71.5427418444917,0.0325601658260758,"Light truck","HEV","kg",70.9998607996376,71.5427418444917
"Battery Lead-Acid",16.32932532,0.00743171880947521,"Light truck","HEV","kg",16.32932532,16.32932532
"EV Battery",66.2500000045444,0.0301513602989143,"Light truck","HEV","kg",56.2500000038584,66.2500000045444
"Traction Motor",47.2182084877375,0.0214897089311,"Light truck","HEV","kg",39.7599213557205,47.2182084877375
"Generator",47.2182084877375,0.0214897089311,"Light truck","HEV","kg",39.7599213557205,47.2182084877375
"Electronic Controller",36.3094405213315,0.0165249663899709,"Light truck","HEV","kg",31.1434466650001,36.3094405213315
"Fluids",43.045915913,0.019590836528311,"Light truck","HEV","kg",43.045915913,43.045915913
"Wheels",54.4310844,0.024772396031584,"Light truck","HEV","kg",54.4310844,54.4310844
"Total",2197.24746571152,1,"Light truck","HEV","kg",1900.24780702575,2197.24746571152
"Glider",1431.47053850844,0.639511589849305,"Light truck","PHEV20","kg",1193.27227026801,1431.47053850844
"Powertrain",397.246990015622,0.177470682989012,"Light truck","PHEV20","kg",366.068072435468,397.246990015622
"Transmission",71.5735268236124,0.0319755794469817,"Light truck","PHEV20","kg",71.0281108481746,71.5735268236124
"Battery Lead-Acid",16.32932532,0.00729515034758653,"Light truck","PHEV20","kg",16.32932532,16.32932532
"EV Battery",88.3834732467735,0.0394854479864759,"Light truck","PHEV20","kg",84.7457627176773,118.644067804748
"Traction Motor",49.6243110079646,0.0221697346708563,"Light truck","PHEV20","kg",40.7227829951322,49.6243110079646
"Generator",49.6243110079646,0.0221697346708563,"Light truck","PHEV20","kg",40.7227829951322,49.6243110079646
"Electronic Controller",36.6514401146078,0.0163740853251387,"Light truck","PHEV20","kg",31.3774463867154,36.6514401146078
"Fluids",43.045915913,0.0192308268884989,"Light truck","PHEV20","kg",43.045915913,43.045915913
"Wheels",54.4310844,0.0243171678252884,"Light truck","PHEV20","kg",54.4310844,54.4310844
"Total",2238.38091635798,1,"Light truck","PHEV20","kg",1941.74355427931,2268.64151091596
"Glider",1434.71384156388,0.602712682629719,"Light truck","PHEV40","kg",1196.11807502648,1434.71384156388
"Powertrain",438.407023304506,0.184171550761332,"Light truck","PHEV40","kg",399.714735878889,438.407023304506
"Transmission",71.7356911142082,0.0301356337265226,"Light truck","PHEV40","kg",71.1975047700604,71.7356911142082
"Battery Lead-Acid",16.32932532,0.00685982889690576,"Light truck","PHEV40","kg",16.32932532,16.32932532
"EV Battery",124.430178358987,0.052272198417694,"Light truck","PHEV40","kg",101.694915261213,135.593220348284
"Traction Motor",79.3874987947664,0.0333501015879944,"Light truck","PHEV40","kg",62.6538040516379,79.3874987947664
"Generator",79.3874987947664,0.0333501015879944,"Light truck","PHEV40","kg",62.6538040516379,79.3874987947664
"Electronic Controller",38.5594378455176,0.0161985348933647,"Light truck","PHEV40","kg",32.8534446313816,38.5594378455176
"Fluids",43.045915913,0.0180832711754543,"Light truck","PHEV40","kg",43.045915913,43.045915913
"Wheels",54.4310844,0.0228660963230192,"Light truck","PHEV40","kg",54.4310844,54.4310844
"Total",2380.42749540963,1,"Light truck","PHEV40","kg",2040.6926093043,2391.59053739893
"Glider",1550.32209930643,0.659796533609839,"Light truck","FCV","kg",1299.99094541626,1550.32209930643
"Powertrain",414.790585756538,0.176529374623889,"Light truck","FCV","kg",354.696532656383,414.790585756538
"Transmission",63.3851186096588,0.0269758662150344,"Light truck","FCV","kg",54.4650320446274,63.3851186096588
"Battery Lead-Acid",16.32932532,0.00694954438638487,"Light truck","FCV","kg",16.32932532,16.32932532
"EV Battery",35.6999999917388,0.0151934467392023,"Light truck","FCV","kg",31.4999999927107,35.6999999917388
"Traction Motor",96.2514746889442,0.0409633516693154,"Light truck","FCV","kg",83.7923556997061,96.2514746889442
"Electronic Controller",84.5134914795451,0.0359678216200458,"Light truck","FCV","kg",73.3183119370916,84.5134914795451
"Fluids",33.974068513,0.014458913181673,"Light truck","FCV","kg",33.974068513,33.974068513
"Wheels",54.4310844,0.0231651479546162,"Light truck","FCV","kg",54.4310844,54.4310844
"Total",2349.69724806585,1,"Light truck","FCV","kg",2002.49765597978,2349.69724806585
