"Year","Scenario","Value","Unit"
2018,"SSP1-2.6",254368576,"Vehicles"
2019,"SSP1-2.6",257726559,"Vehicles"
2020,"SSP1-2.6",260042836,"Vehicles"
2021,"SSP1-2.6",262435592,"Vehicles"
2022,"SSP1-2.6",264828361,"Vehicles"
2023,"SSP1-2.6",267221131,"Vehicles"
2024,"SSP1-2.6",269613890,"Vehicles"
2025,"SSP1-2.6",272006655,"Vehicles"
2026,"SSP1-2.6",274094896,"Vehicles"
2027,"SSP1-2.6",276183150,"Vehicles"
2028,"SSP1-2.6",278271398,"Vehicles"
2029,"SSP1-2.6",280359646,"Vehicles"
2030,"SSP1-2.6",282447885,"Vehicles"
2031,"SSP1-2.6",284379991,"Vehicles"
2032,"SSP1-2.6",286312106,"Vehicles"
2033,"SSP1-2.6",288244221,"Vehicles"
2034,"SSP1-2.6",290176341,"Vehicles"
2035,"SSP1-2.6",292108433,"Vehicles"
2036,"SSP1-2.6",293801265,"Vehicles"
2037,"SSP1-2.6",295494085,"Vehicles"
2038,"SSP1-2.6",297186899,"Vehicles"
2039,"SSP1-2.6",298879715,"Vehicles"
2040,"SSP1-2.6",300572534,"Vehicles"
2041,"SSP1-2.6",302100938,"Vehicles"
2042,"SSP1-2.6",303629391,"Vehicles"
2043,"SSP1-2.6",305157811,"Vehicles"
2044,"SSP1-2.6",306686240,"Vehicles"
2045,"SSP1-2.6",308214656,"Vehicles"
2046,"SSP1-2.6",309628076,"Vehicles"
2047,"SSP1-2.6",311041494,"Vehicles"
2048,"SSP1-2.6",312454922,"Vehicles"
2049,"SSP1-2.6",313868327,"Vehicles"
2050,"SSP1-2.6",315281751,"Vehicles"
2018,"SSP2-2.6",254368576,"Vehicles"
2019,"SSP2-2.6",258556008,"Vehicles"
2020,"SSP2-2.6",261701742,"Vehicles"
2021,"SSP2-2.6",264731054,"Vehicles"
2022,"SSP2-2.6",267760380,"Vehicles"
2023,"SSP2-2.6",270789707,"Vehicles"
2024,"SSP2-2.6",273819039,"Vehicles"
2025,"SSP2-2.6",276848354,"Vehicles"
2026,"SSP2-2.6",279564887,"Vehicles"
2027,"SSP2-2.6",282281443,"Vehicles"
2028,"SSP2-2.6",284997994,"Vehicles"
2029,"SSP2-2.6",287714537,"Vehicles"
2030,"SSP2-2.6",290431082,"Vehicles"
2031,"SSP2-2.6",292889361,"Vehicles"
2032,"SSP2-2.6",295347632,"Vehicles"
2033,"SSP2-2.6",297805917,"Vehicles"
2034,"SSP2-2.6",300264211,"Vehicles"
2035,"SSP2-2.6",302722486,"Vehicles"
2036,"SSP2-2.6",304635694,"Vehicles"
2037,"SSP2-2.6",306548925,"Vehicles"
2038,"SSP2-2.6",308462142,"Vehicles"
2039,"SSP2-2.6",310375345,"Vehicles"
2040,"SSP2-2.6",312288569,"Vehicles"
2041,"SSP2-2.6",314145608,"Vehicles"
2042,"SSP2-2.6",316002682,"Vehicles"
2043,"SSP2-2.6",317859733,"Vehicles"
2044,"SSP2-2.6",319716773,"Vehicles"
2045,"SSP2-2.6",321573832,"Vehicles"
2046,"SSP2-2.6",323256543,"Vehicles"
2047,"SSP2-2.6",324939266,"Vehicles"
2048,"SSP2-2.6",326621991,"Vehicles"
2049,"SSP2-2.6",328304708,"Vehicles"
2050,"SSP2-2.6",329987424,"Vehicles"
2018,"SSP5-2.6",254368576,"Vehicles"
2019,"SSP5-2.6",259632596,"Vehicles"
2020,"SSP5-2.6",263854919,"Vehicles"
2021,"SSP5-2.6",268618712,"Vehicles"
2022,"SSP5-2.6",273382519,"Vehicles"
2023,"SSP5-2.6",278146333,"Vehicles"
2024,"SSP5-2.6",282910140,"Vehicles"
2025,"SSP5-2.6",287673946,"Vehicles"
2026,"SSP5-2.6",292600352,"Vehicles"
2027,"SSP5-2.6",297526762,"Vehicles"
2028,"SSP5-2.6",302453180,"Vehicles"
2029,"SSP5-2.6",307379589,"Vehicles"
2030,"SSP5-2.6",312305994,"Vehicles"
2031,"SSP5-2.6",317191142,"Vehicles"
2032,"SSP5-2.6",322076266,"Vehicles"
2033,"SSP5-2.6",326961398,"Vehicles"
2034,"SSP5-2.6",331846534,"Vehicles"
2035,"SSP5-2.6",336731661,"Vehicles"
2036,"SSP5-2.6",340677299,"Vehicles"
2037,"SSP5-2.6",344622931,"Vehicles"
2038,"SSP5-2.6",348568573,"Vehicles"
2039,"SSP5-2.6",352514209,"Vehicles"
2040,"SSP5-2.6",356459850,"Vehicles"
2041,"SSP5-2.6",360908480,"Vehicles"
2042,"SSP5-2.6",365357129,"Vehicles"
2043,"SSP5-2.6",369805749,"Vehicles"
2044,"SSP5-2.6",374254396,"Vehicles"
2045,"SSP5-2.6",378703025,"Vehicles"
2046,"SSP5-2.6",383224563,"Vehicles"
2047,"SSP5-2.6",387746108,"Vehicles"
2048,"SSP5-2.6",392267670,"Vehicles"
2049,"SSP5-2.6",396789194,"Vehicles"
2050,"SSP5-2.6",401310732,"Vehicles"
