"Year","Scenario","Sens_analysis_name","Default","Low_scenario","max","min","upper"
2050,"SSP1-26","Vehicle weight control",0.895631813387551,0.851214539656236,0.984655838626805,0.8067558643333,0.915519724225951
2050,"SSP2-26","Vehicle weight control",0.829578747543301,0.761431012443415,0.953834255558394,0.665638268951833,0.861692355755199
2050,"SSP5-26","Vehicle weight control",0.873925690240867,0.830477661735851,0.969171277182235,0.788212803025657,0.894646546699033
2050,"SSP1-26","Fuel economy standards",0.895631813387551,0.847421826219983,0.984367693020934,0.784426701050976,0.915728536870472
2050,"SSP2-26","Fuel economy standards",0.829578747543301,0.725082374196317,0.95472583561378,0.596141202023933,0.861146358910047
2050,"SSP5-26","Fuel economy standards",0.873925690240867,0.822745331775226,0.970366269461805,0.761583532996969,0.896326026958684
2050,"SSP1-26","Vehicle usage",0.895631813387551,0.511468462150139,0.986734563154796,0.438744760222487,0.933870619927232
2050,"SSP2-26","Vehicle usage",0.829578747543301,0.250458820509974,0.962562278292846,0.17350492609064,0.894560939120128
2050,"SSP5-26","Vehicle usage",0.873925690240867,0.533076856935965,0.97222028185545,0.464663766813969,0.91373946655068
2050,"SSP1-26","EV type in optimization",0.895631813387551,0.87977537813664,1,0.856050229342412,0.929499154586718
2050,"SSP2-26","EV type in optimization",0.829578747543301,0.80694334194465,0.999848053847458,0.764487846958586,0.875325430874713
2050,"SSP5-26","EV type in optimization",0.873925690240867,0.854209802807807,0.997106162432912,0.830944551395631,0.912944401103008
2050,"SSP1-26","Electricity emission factors",0.895631813387551,0.721997082876131,1,0.681157267488025,0.965868527071357
2050,"SSP2-26","Electricity emission factors",0.829578747543301,0.587512260505078,0.991885312766615,0.537363991523447,0.913978755337311
2050,"SSP5-26","Electricity emission factors",0.873925690240867,0.744705151275075,1,0.705477997215908,0.979869995419537
