"Technology","Year","Scenario","Value","Unit"
"CNG",2019,"SSP1",20759,"Vehicles"
"EV",2019,"SSP1",648092,"Vehicles"
"FCV",2019,"SSP1",6728,"Vehicles"
"FFV",2019,"SSP1",1125663,"Vehicles"
"HEV",2019,"SSP1",696550,"Vehicles"
"ICEV-D",2019,"SSP1",106571,"Vehicles"
"ICEV-G",2019,"SSP1",17335247,"Vehicles"
"CNG",2020,"SSP1",19360,"Vehicles"
"EV",2020,"SSP1",604444,"Vehicles"
"FCV",2020,"SSP1",6274,"Vehicles"
"FFV",2020,"SSP1",1049854,"Vehicles"
"HEV",2020,"SSP1",649639,"Vehicles"
"ICEV-D",2020,"SSP1",99393,"Vehicles"
"ICEV-G",2020,"SSP1",16167776,"Vehicles"
"CNG",2021,"SSP1",19192,"Vehicles"
"EV",2021,"SSP1",783555,"Vehicles"
"FCV",2021,"SSP1",6220,"Vehicles"
"FFV",2021,"SSP1",1040746,"Vehicles"
"HEV",2021,"SSP1",644004,"Vehicles"
"ICEV-D",2021,"SSP1",98531,"Vehicles"
"ICEV-G",2021,"SSP1",15843175,"Vehicles"
"CNG",2022,"SSP1",18886,"Vehicles"
"EV",2022,"SSP1",952479,"Vehicles"
"FCV",2022,"SSP1",6121,"Vehicles"
"FFV",2022,"SSP1",1024154,"Vehicles"
"HEV",2022,"SSP1",633737,"Vehicles"
"ICEV-D",2022,"SSP1",96961,"Vehicles"
"ICEV-G",2022,"SSP1",15409177,"Vehicles"
"CNG",2023,"SSP1",18864,"Vehicles"
"EV",2023,"SSP1",1132527,"Vehicles"
"FCV",2023,"SSP1",6114,"Vehicles"
"FFV",2023,"SSP1",1022920,"Vehicles"
"HEV",2023,"SSP1",632973,"Vehicles"
"ICEV-D",2023,"SSP1",96844,"Vehicles"
"ICEV-G",2023,"SSP1",15209407,"Vehicles"
"CNG",2024,"SSP1",18931,"Vehicles"
"EV",2024,"SSP1",1500268,"Vehicles"
"FCV",2024,"SSP1",6135,"Vehicles"
"FFV",2024,"SSP1",1026578,"Vehicles"
"HEV",2024,"SSP1",635237,"Vehicles"
"ICEV-D",2024,"SSP1",97190,"Vehicles"
"ICEV-G",2024,"SSP1",14900122,"Vehicles"
"CNG",2025,"SSP1",19011,"Vehicles"
"EV",2025,"SSP1",1871844,"Vehicles"
"FCV",2025,"SSP1",6162,"Vehicles"
"FFV",2025,"SSP1",1030923,"Vehicles"
"HEV",2025,"SSP1",637926,"Vehicles"
"ICEV-D",2025,"SSP1",97601,"Vehicles"
"ICEV-G",2025,"SSP1",14597948,"Vehicles"
"CNG",2026,"SSP1",18675,"Vehicles"
"EV",2026,"SSP1",2376849,"Vehicles"
"FCV",2026,"SSP1",6052,"Vehicles"
"FFV",2026,"SSP1",1012671,"Vehicles"
"HEV",2026,"SSP1",626631,"Vehicles"
"ICEV-D",2026,"SSP1",95874,"Vehicles"
"ICEV-G",2026,"SSP1",13801354,"Vehicles"
"CNG",2027,"SSP1",18746,"Vehicles"
"EV",2027,"SSP1",3106330,"Vehicles"
"FCV",2027,"SSP1",6075,"Vehicles"
"FFV",2027,"SSP1",1016584,"Vehicles"
"HEV",2027,"SSP1",629052,"Vehicles"
