"Technology","Year","Scenario","Value","Unit"
"ICEV-D",2027,"SSP1",96244,"Vehicles"
"ICEV-G",2027,"SSP1",13134388,"Vehicles"
"CNG",2028,"SSP1",18795,"Vehicles"
"EV",2028,"SSP1",3655939,"Vehicles"
"FCV",2028,"SSP1",6092,"Vehicles"
"FFV",2028,"SSP1",1019201,"Vehicles"
"HEV",2028,"SSP1",630672,"Vehicles"
"ICEV-D",2028,"SSP1",96492,"Vehicles"
"ICEV-G",2028,"SSP1",12626584,"Vehicles"
"CNG",2029,"SSP1",19033,"Vehicles"
"EV",2029,"SSP1",4433684,"Vehicles"
"FCV",2029,"SSP1",6169,"Vehicles"
"FFV",2029,"SSP1",1032142,"Vehicles"
"HEV",2029,"SSP1",638681,"Vehicles"
"ICEV-D",2029,"SSP1",97717,"Vehicles"
"ICEV-G",2029,"SSP1",12055594,"Vehicles"
"CNG",2030,"SSP1",19097,"Vehicles"
"EV",2030,"SSP1",4998902,"Vehicles"
"FCV",2030,"SSP1",6189,"Vehicles"
"FFV",2030,"SSP1",1035608,"Vehicles"
"HEV",2030,"SSP1",640825,"Vehicles"
"ICEV-D",2030,"SSP1",98045,"Vehicles"
"ICEV-G",2030,"SSP1",11545740,"Vehicles"
"CNG",2031,"SSP1",19304,"Vehicles"
"EV",2031,"SSP1",5794804,"Vehicles"
"FCV",2031,"SSP1",6257,"Vehicles"
"FFV",2031,"SSP1",1046831,"Vehicles"
"HEV",2031,"SSP1",647769,"Vehicles"
"ICEV-D",2031,"SSP1",99107,"Vehicles"
"ICEV-G",2031,"SSP1",10929133,"Vehicles"
"CNG",2032,"SSP1",19435,"Vehicles"
"EV",2032,"SSP1",6394140,"Vehicles"
"FCV",2032,"SSP1",6299,"Vehicles"
"FFV",2032,"SSP1",1053926,"Vehicles"
"HEV",2032,"SSP1",652159,"Vehicles"
"ICEV-D",2032,"SSP1",99779,"Vehicles"
"ICEV-G",2032,"SSP1",10443132,"Vehicles"
"CNG",2033,"SSP1",19638,"Vehicles"
"EV",2033,"SSP1",7215457,"Vehicles"
"FCV",2033,"SSP1",6365,"Vehicles"
"FFV",2033,"SSP1",1064930,"Vehicles"
"HEV",2033,"SSP1",658968,"Vehicles"
"ICEV-D",2033,"SSP1",100821,"Vehicles"
"ICEV-G",2033,"SSP1",9797620,"Vehicles"
"CNG",2034,"SSP1",19875,"Vehicles"
"EV",2034,"SSP1",7875301,"Vehicles"
"FCV",2034,"SSP1",6442,"Vehicles"
"FFV",2034,"SSP1",1077784,"Vehicles"
"HEV",2034,"SSP1",666923,"Vehicles"
"ICEV-D",2034,"SSP1",102038,"Vehicles"
"ICEV-G",2034,"SSP1",9343141,"Vehicles"
"CNG",2035,"SSP1",20113,"Vehicles"
"EV",2035,"SSP1",8742243,"Vehicles"
"FCV",2035,"SSP1",6519,"Vehicles"
"FFV",2035,"SSP1",1090670,"Vehicles"
"HEV",2035,"SSP1",674896,"Vehicles"
"ICEV-D",2035,"SSP1",103258,"Vehicles"
"ICEV-G",2035,"SSP1",8682052,"Vehicles"
"CNG",2036,"SSP1",19987,"Vehicles"
"EV",2036,"SSP1",9263434,"Vehicles"
"FCV",2036,"SSP1",6477,"Vehicles"
"FFV",2036,"SSP1",1083837,"Vehicles"
"HEV",2036,"SSP1",670668,"Vehicles"
"ICEV-D",2036,"SSP1",102611,"Vehicles"
"ICEV-G",2036,"SSP1",8051695,"Vehicles"
"CNG",2037,"SSP1",20122,"Vehicles"
"EV",2037,"SSP1",10099347,"Vehicles"
"FCV",2037,"SSP1",6521,"Vehicles"
"FFV",2037,"SSP1",1091180,"Vehicles"
"HEV",2037,"SSP1",675212,"Vehicles"
"ICEV-D",2037,"SSP1",103307,"Vehicles"
"ICEV-G",2037,"SSP1",7333097,"Vehicles"
"CNG",2038,"SSP1",20139,"Vehicles"
"EV",2038,"SSP1",10688021,"Vehicles"
"FCV",2038,"SSP1",6527,"Vehicles"
"FFV",2038,"SSP1",1092080,"Vehicles"
"HEV",2038,"SSP1",675769,"Vehicles"
"ICEV-D",2038,"SSP1",103392,"Vehicles"
"ICEV-G",2038,"SSP1",6758804,"Vehicles"
"CNG",2039,"SSP1",19900,"Vehicles"
"EV",2039,"SSP1",11134592,"Vehicles"
"FCV",2039,"SSP1",6450,"Vehicles"
"FFV",2039,"SSP1",1079115,"Vehicles"
"HEV",2039,"SSP1",667747,"Vehicles"
"ICEV-D",2039,"SSP1",102164,"Vehicles"
"ICEV-G",2039,"SSP1",6105113,"Vehicles"
"CNG",2040,"SSP1",19778,"Vehicles"
"EV",2040,"SSP1",11636527,"Vehicles"
"FCV",2040,"SSP1",6410,"Vehicles"
"FFV",2040,"SSP1",1072524,"Vehicles"
"HEV",2040,"SSP1",663668,"Vehicles"
"ICEV-D",2040,"SSP1",101540,"Vehicles"
"ICEV-G",2040,"SSP1",5497872,"Vehicles"
"CNG",2041,"SSP1",19938,"Vehicles"
"EV",2041,"SSP1",11730206,"Vehicles"
"FCV",2041,"SSP1",6462,"Vehicles"
"FFV",2041,"SSP1",1081158,"Vehicles"
"HEV",2041,"SSP1",669011,"Vehicles"
"ICEV-D",2041,"SSP1",102358,"Vehicles"
"ICEV-G",2041,"SSP1",5542132,"Vehicles"
"CNG",2042,"SSP1",20245,"Vehicles"
"EV",2042,"SSP1",11911395,"Vehicles"
"FCV",2042,"SSP1",6562,"Vehicles"
"FFV",2042,"SSP1",1097858,"Vehicles"
"HEV",2042,"SSP1",679345,"Vehicles"
"ICEV-D",2042,"SSP1",103938,"Vehicles"
"ICEV-G",2042,"SSP1",5627738,"Vehicles"
"CNG",2043,"SSP1",20549,"Vehicles"
"EV",2043,"SSP1",12090406,"Vehicles"
"FCV",2043,"SSP1",6660,"Vehicles"
"FFV",2043,"SSP1",1114358,"Vehicles"
"HEV",2043,"SSP1",689554,"Vehicles"
"ICEV-D",2043,"SSP1",105501,"Vehicles"
"ICEV-G",2043,"SSP1",5712315,"Vehicles"
"CNG",2044,"SSP1",20787,"Vehicles"
"EV",2044,"SSP1",12229737,"Vehicles"
"FCV",2044,"SSP1",6736,"Vehicles"
"FFV",2044,"SSP1",1127200,"Vehicles"
"HEV",2044,"SSP1",697501,"Vehicles"
"ICEV-D",2044,"SSP1",106717,"Vehicles"
"ICEV-G",2044,"SSP1",5778145,"Vehicles"
"CNG",2045,"SSP1",20959,"Vehicles"
"EV",2045,"SSP1",12331450,"Vehicles"
"FCV",2045,"SSP1",6792,"Vehicles"
"FFV",2045,"SSP1",1136575,"Vehicles"
"HEV",2045,"SSP1",703301,"Vehicles"
"ICEV-D",2045,"SSP1",107604,"Vehicles"
"ICEV-G",2045,"SSP1",5826200,"Vehicles"
"CNG",2046,"SSP1",21390,"Vehicles"
"EV",2046,"SSP1",12584792,"Vehicles"
"FCV",2046,"SSP1",6933,"Vehicles"
"FFV",2046,"SSP1",1159925,"Vehicles"
"HEV",2046,"SSP1",717751,"Vehicles"
"ICEV-D",2046,"SSP1",109814,"Vehicles"
"ICEV-G",2046,"SSP1",5945895,"Vehicles"
"CNG",2047,"SSP1",21312,"Vehicles"
"EV",2047,"SSP1",12539184,"Vehicles"
"FCV",2047,"SSP1",6908,"Vehicles"
"FFV",2047,"SSP1",1155721,"Vehicles"
"HEV",2047,"SSP1",715149,"Vehicles"
"ICEV-D",2047,"SSP1",109416,"Vehicles"
"ICEV-G",2047,"SSP1",5924347,"Vehicles"
"CNG",2048,"SSP1",21498,"Vehicles"
"EV",2048,"SSP1",12648368,"Vehicles"
"FCV",2048,"SSP1",6968,"Vehicles"
"FFV",2048,"SSP1",1165784,"Vehicles"
"HEV",2048,"SSP1",721376,"Vehicles"
"ICEV-D",2048,"SSP1",110369,"Vehicles"
"ICEV-G",2048,"SSP1",5975933,"Vehicles"
"CNG",2049,"SSP1",21601,"Vehicles"
"EV",2049,"SSP1",12708655,"Vehicles"
"FCV",2049,"SSP1",7001,"Vehicles"
"FFV",2049,"SSP1",1171340,"Vehicles"
"HEV",2049,"SSP1",724814,"Vehicles"
"ICEV-D",2049,"SSP1",110896,"Vehicles"
"ICEV-G",2049,"SSP1",6004416,"Vehicles"
"CNG",2050,"SSP1",22248,"Vehicles"
"EV",2050,"SSP1",13089712,"Vehicles"
"FCV",2050,"SSP1",7211,"Vehicles"
"FFV",2050,"SSP1",1206462,"Vehicles"
"HEV",2050,"SSP1",746547,"Vehicles"
"ICEV-D",2050,"SSP1",114221,"Vehicles"
"ICEV-G",2050,"SSP1",6184452,"Vehicles"
"CNG",2019,"SSP2",21621,"Vehicles"
"EV",2019,"SSP2",675051,"Vehicles"
"FCV",2019,"SSP2",7008,"Vehicles"
"FFV",2019,"SSP2",1172489,"Vehicles"
"HEV",2019,"SSP2",725525,"Vehicles"
"ICEV-D",2019,"SSP2",111004,"Vehicles"
"ICEV-G",2019,"SSP2",18056362,"Vehicles"
"CNG",2020,"SSP2",20234,"Vehicles"
"EV",2020,"SSP2",631751,"Vehicles"
"FCV",2020,"SSP2",6558,"Vehicles"
"FFV",2020,"SSP2",1097282,"Vehicles"
"HEV",2020,"SSP2",678988,"Vehicles"
"ICEV-D",2020,"SSP2",103884,"Vehicles"
"ICEV-G",2020,"SSP2",16898167,"Vehicles"
"CNG",2021,"SSP2",19873,"Vehicles"
"EV",2021,"SSP2",811360,"Vehicles"
"FCV",2021,"SSP2",6441,"Vehicles"
"FFV",2021,"SSP2",1077679,"Vehicles"
"HEV",2021,"SSP2",666858,"Vehicles"
"ICEV-D",2021,"SSP2",102028,"Vehicles"
"ICEV-G",2021,"SSP2",16405390,"Vehicles"
"CNG",2022,"SSP2",19575,"Vehicles"
"EV",2022,"SSP2",987252,"Vehicles"
"FCV",2022,"SSP2",6344,"Vehicles"
"FFV",2022,"SSP2",1061545,"Vehicles"
"HEV",2022,"SSP2",656873,"Vehicles"
"ICEV-D",2022,"SSP2",100500,"Vehicles"
"ICEV-G",2022,"SSP2",15971744,"Vehicles"
"CNG",2023,"SSP2",19569,"Vehicles"
"EV",2023,"SSP2",1174850,"Vehicles"
"FCV",2023,"SSP2",6342,"Vehicles"
"FFV",2023,"SSP2",1061146,"Vehicles"
"HEV",2023,"SSP2",656628,"Vehicles"
"ICEV-D",2023,"SSP2",100463,"Vehicles"
"ICEV-G",2023,"SSP2",15777780,"Vehicles"
"CNG",2024,"SSP2",19662,"Vehicles"
"EV",2024,"SSP2",1558185,"Vehicles"
"FCV",2024,"SSP2",6372,"Vehicles"
"FFV",2024,"SSP2",1066209,"Vehicles"
"HEV",2024,"SSP2",659760,"Vehicles"
"ICEV-D",2024,"SSP2",100943,"Vehicles"
"ICEV-G",2024,"SSP2",15475333,"Vehicles"
"CNG",2025,"SSP2",19769,"Vehicles"
"EV",2025,"SSP2",1946500,"Vehicles"
"FCV",2025,"SSP2",6407,"Vehicles"
"FFV",2025,"SSP2",1072040,"Vehicles"
"HEV",2025,"SSP2",663368,"Vehicles"
"ICEV-D",2025,"SSP2",101494,"Vehicles"
"ICEV-G",2025,"SSP2",15180164,"Vehicles"
"CNG",2026,"SSP2",19452,"Vehicles"
"EV",2026,"SSP2",2475758,"Vehicles"
"FCV",2026,"SSP2",6305,"Vehicles"
"FFV",2026,"SSP2",1054811,"Vehicles"
"HEV",2026,"SSP2",652707,"Vehicles"
"ICEV-D",2026,"SSP2",99863,"Vehicles"
"ICEV-G",2026,"SSP2",14375674,"Vehicles"
"CNG",2027,"SSP2",19553,"Vehicles"
"EV",2027,"SSP2",3239905,"Vehicles"
"FCV",2027,"SSP2",6337,"Vehicles"
"FFV",2027,"SSP2",1060298,"Vehicles"
"HEV",2027,"SSP2",656102,"Vehicles"
"ICEV-D",2027,"SSP2",100382,"Vehicles"
"ICEV-G",2027,"SSP2",13699173,"Vehicles"
"CNG",2028,"SSP2",19632,"Vehicles"
"EV",2028,"SSP2",3818757,"Vehicles"
"FCV",2028,"SSP2",6363,"Vehicles"
"FFV",2028,"SSP2",1064591,"Vehicles"
"HEV",2028,"SSP2",658759,"Vehicles"
"ICEV-D",2028,"SSP2",100789,"Vehicles"
"ICEV-G",2028,"SSP2",13188911,"Vehicles"
"CNG",2029,"SSP2",19903,"Vehicles"
"EV",2029,"SSP2",4636361,"Vehicles"
"FCV",2029,"SSP2",6450,"Vehicles"
"FFV",2029,"SSP2",1079325,"Vehicles"
"HEV",2029,"SSP2",667876,"Vehicles"
"ICEV-D",2029,"SSP2",102184,"Vehicles"
"ICEV-G",2029,"SSP2",12606692,"Vehicles"
"CNG",2030,"SSP2",20002,"Vehicles"
"EV",2030,"SSP2",5235686,"Vehicles"
"FCV",2030,"SSP2",6483,"Vehicles"
"FFV",2030,"SSP2",1084661,"Vehicles"
"HEV",2030,"SSP2",671178,"Vehicles"
"ICEV-D",2030,"SSP2",102689,"Vehicles"
"ICEV-G",2030,"SSP2",12092622,"Vehicles"
"CNG",2031,"SSP2",20139,"Vehicles"
"EV",2031,"SSP2",6045331,"Vehicles"
"FCV",2031,"SSP2",6527,"Vehicles"
"FFV",2031,"SSP2",1092088,"Vehicles"
"HEV",2031,"SSP2",675774,"Vehicles"
"ICEV-D",2031,"SSP2",103392,"Vehicles"
"ICEV-G",2031,"SSP2",11401633,"Vehicles"
"CNG",2032,"SSP2",20306,"Vehicles"
"EV",2032,"SSP2",6680654,"Vehicles"
"FCV",2032,"SSP2",6581,"Vehicles"
"FFV",2032,"SSP2",1101150,"Vehicles"
"HEV",2032,"SSP2",681381,"Vehicles"
"ICEV-D",2032,"SSP2",104250,"Vehicles"
"ICEV-G",2032,"SSP2",10911073,"Vehicles"
"CNG",2033,"SSP2",20546,"Vehicles"
"EV",2033,"SSP2",7549144,"Vehicles"
"FCV",2033,"SSP2",6659,"Vehicles"
"FFV",2033,"SSP2",1114178,"Vehicles"
"HEV",2033,"SSP2",689444,"Vehicles"
"ICEV-D",2033,"SSP2",105484,"Vehicles"
"ICEV-G",2033,"SSP2",10250720,"Vehicles"
"CNG",2034,"SSP2",20823,"Vehicles"
"EV",2034,"SSP2",8250753,"Vehicles"
"FCV",2034,"SSP2",6749,"Vehicles"
"FFV",2034,"SSP2",1129168,"Vehicles"
"HEV",2034,"SSP2",698718,"Vehicles"
"ICEV-D",2034,"SSP2",106903,"Vehicles"
"ICEV-G",2034,"SSP2",9788573,"Vehicles"
"CNG",2035,"SSP2",21099,"Vehicles"
"EV",2035,"SSP2",9170903,"Vehicles"
"FCV",2035,"SSP2",6838,"Vehicles"
"FFV",2035,"SSP2",1144149,"Vehicles"
"HEV",2035,"SSP2",707989,"Vehicles"
"ICEV-D",2035,"SSP2",108321,"Vehicles"
"ICEV-G",2035,"SSP2",9107760,"Vehicles"
"CNG",2036,"SSP2",20691,"Vehicles"
"EV",2036,"SSP2",9590214,"Vehicles"
"FCV",2036,"SSP2",6707,"Vehicles"
"FFV",2036,"SSP2",1122070,"Vehicles"
"HEV",2036,"SSP2",694326,"Vehicles"
"ICEV-D",2036,"SSP2",106230,"Vehicles"
"ICEV-G",2036,"SSP2",8335731,"Vehicles"
"CNG",2037,"SSP2",20861,"Vehicles"
"EV",2037,"SSP2",10470385,"Vehicles"
"FCV",2037,"SSP2",6761,"Vehicles"
"FFV",2037,"SSP2",1131268,"Vehicles"
"HEV",2037,"SSP2",700019,"Vehicles"
"ICEV-D",2037,"SSP2",107102,"Vehicles"
"ICEV-G",2037,"SSP2",7602504,"Vehicles"
"CNG",2038,"SSP2",20915,"Vehicles"
"EV",2038,"SSP2",11099710,"Vehicles"
"FCV",2038,"SSP2",6778,"Vehicles"
"FFV",2038,"SSP2",1134146,"Vehicles"
"HEV",2038,"SSP2",701798,"Vehicles"
"ICEV-D",2038,"SSP2",107374,"Vehicles"
"ICEV-G",2038,"SSP2",7019145,"Vehicles"
"CNG",2039,"SSP2",20710,"Vehicles"
"EV",2039,"SSP2",11588161,"Vehicles"
"FCV",2039,"SSP2",6713,"Vehicles"
"FFV",2039,"SSP2",1123074,"Vehicles"
"HEV",2039,"SSP2",694948,"Vehicles"
"ICEV-D",2039,"SSP2",106326,"Vehicles"
"ICEV-G",2039,"SSP2",6353807,"Vehicles"
"CNG",2040,"SSP2",20622,"Vehicles"
"EV",2040,"SSP2",12132555,"Vehicles"
"FCV",2040,"SSP2",6684,"Vehicles"
"FFV",2040,"SSP2",1118243,"Vehicles"
"HEV",2040,"SSP2",691958,"Vehicles"
"ICEV-D",2040,"SSP2",105869,"Vehicles"
"ICEV-G",2040,"SSP2",5732228,"Vehicles"
"CNG",2041,"SSP2",20920,"Vehicles"
"EV",2041,"SSP2",12308230,"Vehicles"
"FCV",2041,"SSP2",6780,"Vehicles"
"FFV",2041,"SSP2",1134434,"Vehicles"
"HEV",2041,"SSP2",701977,"Vehicles"
"ICEV-D",2041,"SSP2",107401,"Vehicles"
"ICEV-G",2041,"SSP2",5815229,"Vehicles"
"CNG",2042,"SSP2",21249,"Vehicles"
"EV",2042,"SSP2",12501644,"Vehicles"
"FCV",2042,"SSP2",6887,"Vehicles"
"FFV",2042,"SSP2",1152261,"Vehicles"
"HEV",2042,"SSP2",713008,"Vehicles"
"ICEV-D",2042,"SSP2",109089,"Vehicles"
"ICEV-G",2042,"SSP2",5906611,"Vehicles"
"CNG",2043,"SSP2",21572,"Vehicles"
"EV",2043,"SSP2",12692192,"Vehicles"
"FCV",2043,"SSP2",6991,"Vehicles"
"FFV",2043,"SSP2",1169823,"Vehicles"
"HEV",2043,"SSP2",723875,"Vehicles"
"ICEV-D",2043,"SSP2",110752,"Vehicles"
"ICEV-G",2043,"SSP2",5996639,"Vehicles"
"CNG",2044,"SSP2",21829,"Vehicles"
"EV",2044,"SSP2",12843328,"Vehicles"
"FCV",2044,"SSP2",7075,"Vehicles"
"FFV",2044,"SSP2",1183753,"Vehicles"
"HEV",2044,"SSP2",732496,"Vehicles"
"ICEV-D",2044,"SSP2",112071,"Vehicles"
"ICEV-G",2044,"SSP2",6068045,"Vehicles"
"CNG",2045,"SSP2",22022,"Vehicles"
"EV",2045,"SSP2",12956780,"Vehicles"
"FCV",2045,"SSP2",7138,"Vehicles"
"FFV",2045,"SSP2",1194210,"Vehicles"
"HEV",2045,"SSP2",738966,"Vehicles"
"ICEV-D",2045,"SSP2",113061,"Vehicles"
"ICEV-G",2045,"SSP2",6121648,"Vehicles"
"CNG",2046,"SSP2",22412,"Vehicles"
"EV",2046,"SSP2",13185992,"Vehicles"
"FCV",2046,"SSP2",7264,"Vehicles"
"FFV",2046,"SSP2",1215336,"Vehicles"
"HEV",2046,"SSP2",752039,"Vehicles"
"ICEV-D",2046,"SSP2",115061,"Vehicles"
"ICEV-G",2046,"SSP2",6229943,"Vehicles"
"CNG",2047,"SSP2",22354,"Vehicles"
"EV",2047,"SSP2",13151823,"Vehicles"
"FCV",2047,"SSP2",7245,"Vehicles"
"FFV",2047,"SSP2",1212187,"Vehicles"
"HEV",2047,"SSP2",750090,"Vehicles"
"ICEV-D",2047,"SSP2",114762,"Vehicles"
"ICEV-G",2047,"SSP2",6213799,"Vehicles"
"CNG",2048,"SSP2",22559,"Vehicles"
"EV",2048,"SSP2",13272364,"Vehicles"
"FCV",2048,"SSP2",7312,"Vehicles"
"FFV",2048,"SSP2",1223297,"Vehicles"
"HEV",2048,"SSP2",756965,"Vehicles"
"ICEV-D",2048,"SSP2",115814,"Vehicles"
"ICEV-G",2048,"SSP2",6270750,"Vehicles"
"CNG",2049,"SSP2",22680,"Vehicles"
"EV",2049,"SSP2",13343680,"Vehicles"
"FCV",2049,"SSP2",7351,"Vehicles"
"FFV",2049,"SSP2",1229870,"Vehicles"
"HEV",2049,"SSP2",761032,"Vehicles"
"ICEV-D",2049,"SSP2",116437,"Vehicles"
"ICEV-G",2049,"SSP2",6304445,"Vehicles"
"CNG",2050,"SSP2",23447,"Vehicles"
"EV",2050,"SSP2",13795093,"Vehicles"
"FCV",2050,"SSP2",7600,"Vehicles"
"FFV",2050,"SSP2",1271477,"Vehicles"
"HEV",2050,"SSP2",786778,"Vehicles"
"ICEV-D",2050,"SSP2",120375,"Vehicles"
"ICEV-G",2050,"SSP2",6517722,"Vehicles"
"CNG",2019,"SSP5",22742,"Vehicles"
"EV",2019,"SSP5",710044,"Vehicles"
"FCV",2019,"SSP5",7371,"Vehicles"
"FFV",2019,"SSP5",1233266,"Vehicles"
"HEV",2019,"SSP5",763133,"Vehicles"
"ICEV-D",2019,"SSP5",116758,"Vehicles"
"ICEV-G",2019,"SSP5",18992334,"Vehicles"
"CNG",2020,"SSP5",21370,"Vehicles"
"EV",2020,"SSP5",667195,"Vehicles"
"FCV",2020,"SSP5",6926,"Vehicles"
"FFV",2020,"SSP5",1158841,"Vehicles"
"HEV",2020,"SSP5",717080,"Vehicles"
"ICEV-D",2020,"SSP5",109712,"Vehicles"
"ICEV-G",2020,"SSP5",17846177,"Vehicles"
"CNG",2021,"SSP5",21703,"Vehicles"
"EV",2021,"SSP5",886056,"Vehicles"
"FCV",2021,"SSP5",7034,"Vehicles"
"FFV",2021,"SSP5",1176889,"Vehicles"
"HEV",2021,"SSP5",728249,"Vehicles"
"ICEV-D",2021,"SSP5",111421,"Vehicles"
"ICEV-G",2021,"SSP5",17915668,"Vehicles"
"CNG",2022,"SSP5",21429,"Vehicles"
"EV",2022,"SSP5",1080686,"Vehicles"
"FCV",2022,"SSP5",6945,"Vehicles"
"FFV",2022,"SSP5",1162010,"Vehicles"
"HEV",2022,"SSP5",719041,"Vehicles"
"ICEV-D",2022,"SSP5",110012,"Vehicles"
"ICEV-G",2022,"SSP5",17483329,"Vehicles"
"CNG",2023,"SSP5",21449,"Vehicles"
"EV",2023,"SSP5",1287762,"Vehicles"
"FCV",2023,"SSP5",6952,"Vehicles"
"FFV",2023,"SSP5",1163130,"Vehicles"
"HEV",2023,"SSP5",719734,"Vehicles"
"ICEV-D",2023,"SSP5",110118,"Vehicles"
"ICEV-G",2023,"SSP5",17294141,"Vehicles"
"CNG",2024,"SSP5",21588,"Vehicles"
"EV",2024,"SSP5",1710847,"Vehicles"
"FCV",2024,"SSP5",6997,"Vehicles"
"FFV",2024,"SSP5",1170670,"Vehicles"
"HEV",2024,"SSP5",724400,"Vehicles"
"ICEV-D",2024,"SSP5",110832,"Vehicles"
"ICEV-G",2024,"SSP5",16991510,"Vehicles"
"CNG",2025,"SSP5",21750,"Vehicles"
"EV",2025,"SSP5",2141518,"Vehicles"
"FCV",2025,"SSP5",7049,"Vehicles"
"FFV",2025,"SSP5",1179446,"Vehicles"
"HEV",2025,"SSP5",729830,"Vehicles"
"ICEV-D",2025,"SSP5",111663,"Vehicles"
"ICEV-G",2025,"SSP5",16701037,"Vehicles"
"CNG",2026,"SSP5",21995,"Vehicles"
"EV",2026,"SSP5",2799355,"Vehicles"
"FCV",2026,"SSP5",7128,"Vehicles"
"FFV",2026,"SSP5",1192683,"Vehicles"
"HEV",2026,"SSP5",738021,"Vehicles"
"ICEV-D",2026,"SSP5",112916,"Vehicles"
"ICEV-G",2026,"SSP5",16254669,"Vehicles"
"CNG",2027,"SSP5",22174,"Vehicles"
"EV",2027,"SSP5",3674240,"Vehicles"
"FCV",2027,"SSP5",7186,"Vehicles"
"FFV",2027,"SSP5",1202439,"Vehicles"
"HEV",2027,"SSP5",744058,"Vehicles"
"ICEV-D",2027,"SSP5",113839,"Vehicles"
"ICEV-G",2027,"SSP5",15535657,"Vehicles"
"CNG",2028,"SSP5",22335,"Vehicles"
"EV",2028,"SSP5",4344584,"Vehicles"
"FCV",2028,"SSP5",7239,"Vehicles"
"FFV",2028,"SSP5",1211181,"Vehicles"
"HEV",2028,"SSP5",749467,"Vehicles"
"ICEV-D",2028,"SSP5",114667,"Vehicles"
"ICEV-G",2028,"SSP5",15004971,"Vehicles"
"CNG",2029,"SSP5",22696,"Vehicles"
"EV",2029,"SSP5",5286859,"Vehicles"
"FCV",2029,"SSP5",7356,"Vehicles"
"FFV",2029,"SSP5",1230759,"Vehicles"
"HEV",2029,"SSP5",761582,"Vehicles"
"ICEV-D",2029,"SSP5",116521,"Vehicles"
"ICEV-G",2029,"SSP5",14375454,"Vehicles"
"CNG",2030,"SSP5",22892,"Vehicles"
"EV",2030,"SSP5",5992224,"Vehicles"
"FCV",2030,"SSP5",7420,"Vehicles"
"FFV",2030,"SSP5",1241392,"Vehicles"
"HEV",2030,"SSP5",768161,"Vehicles"
"ICEV-D",2030,"SSP5",117528,"Vehicles"
"ICEV-G",2030,"SSP5",13839967,"Vehicles"
"CNG",2031,"SSP5",23366,"Vehicles"
"EV",2031,"SSP5",7013837,"Vehicles"
