"Size","Technology","Model_year","Sector","Phase","Lcia_method","Unit","Value","Scenario","Sens_analysis"
"Car","BEV300",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",26088.2969066566,"SSP2","max"
"Light truck","BEV300",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",35499.3626779597,"SSP2","max"
"Car","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1721.30140247958,"SSP2","max"
"Light truck","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1870.90903654246,"SSP2","max"
"Car","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1710.08634119758,"SSP2","max"
"Light truck","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1865.82353854489,"SSP2","max"
"Car","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",3505.78249780928,"SSP2","max"
"Light truck","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",4076.70553247948,"SSP2","max"
"Car","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",3403.89734900379,"SSP2","max"
"Light truck","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",3980.27231371629,"SSP2","max"
"Car","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",794.062591972026,"SSP2","max"
"Light truck","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",918.395990276655,"SSP2","max"
"Car","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",802.372503652726,"SSP2","max"
"Light truck","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",938.536802503034,"SSP2","max"
"Car","BEV100",2030,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",3763.29801744847,"SSP5","max"
"Light truck","BEV100",2030,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",5422.44352062375,"SSP5","max"
"Car","BEV300",2030,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",10328.779129605,"SSP5","max"
"Light truck","BEV300",2030,"Manufacturing","Battery production","ipcc_2013","kg CO2 eq",12264.735430833,"SSP5","max"
"Car","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"SSP5","max"
"Light truck","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"SSP5","max"
"Car","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"SSP5","max"
"Light truck","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",238.3140749,"SSP5","max"
"Car","BEV100",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",16427.4585423546,"SSP5","max"
"Light truck","BEV100",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",25073.4665357382,"SSP5","max"
"Car","BEV300",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",22625.5297355038,"SSP5","max"
"Light truck","BEV300",2030,"Energy","Fuel Production","ipcc_2013","kg CO2 eq",31467.6074024333,"SSP5","max"
"Car","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1721.30140247958,"SSP5","max"
"Light truck","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1870.90903654246,"SSP5","max"
"Car","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1710.08634119758,"SSP5","max"
"Light truck","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",1865.82353854489,"SSP5","max"
"Car","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",3551.63638385341,"SSP5","max"
"Light truck","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",4128.81879510463,"SSP5","max"
"Car","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",3453.48810777027,"SSP5","max"
"Light truck","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",4037.96226440885,"SSP5","max"
"Car","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",785.930400353296,"SSP5","max"
"Light truck","BEV100",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",909.153697548466,"SSP5","max"
"Car","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",793.577577255013,"SSP5","max"
"Light truck","BEV300",2030,"Manufacturing","Vehicle production","ipcc_2013","kg CO2 eq",928.305483546655,"SSP5","max"
