"Year","Scenario","Value","Unit"
2000,"SSP1",17349750,"Vehicles"
2001,"SSP1",17122363,"Vehicles"
2002,"SSP1",16816361,"Vehicles"
2003,"SSP1",16639047,"Vehicles"
2004,"SSP1",16866914,"Vehicles"
2005,"SSP1",16947748,"Vehicles"
2006,"SSP1",16054394,"Vehicles"
2007,"SSP1",15178703,"Vehicles"
2008,"SSP1",12444354,"Vehicles"
2009,"SSP1",9844768,"Vehicles"
2010,"SSP1",10864507,"Vehicles"
2011,"SSP1",12256716,"Vehicles"
2012,"SSP1",13702826,"Vehicles"
2013,"SSP1",14380531,"Vehicles"
2014,"SSP1",15251725,"Vehicles"
2015,"SSP1",16282092,"Vehicles"
2016,"SSP1",16244601,"Vehicles"
2017,"SSP1",15954365,"Vehicles"
2018,"SSP1",15693955,"Vehicles"
2019,"SSP1",19939610,"Vehicles"
2020,"SSP1",18596479,"Vehicles"
2021,"SSP1",18435034,"Vehicles"
2022,"SSP1",18141401,"Vehicles"
2023,"SSP1",18119050,"Vehicles"
2024,"SSP1",18182761,"Vehicles"
2025,"SSP1",18258331,"Vehicles"
2026,"SSP1",17931986,"Vehicles"
2027,"SSP1",17997299,"Vehicles"
2028,"SSP1",18037664,"Vehicles"
2029,"SSP1",18258670,"Vehicles"
2030,"SSP1",18309303,"Vehicles"
2031,"SSP1",18492931,"Vehicles"
2032,"SSP1",18598196,"Vehicles"
2033,"SSP1",18767991,"Vehicles"
2034,"SSP1",18965310,"Vehicles"
2035,"SSP1",19158864,"Vehicles"
2036,"SSP1",18997933,"Vehicles"
2037,"SSP1",19084508,"Vehicles"
2038,"SSP1",19052172,"Vehicles"
2039,"SSP1",18770075,"Vehicles"
2040,"SSP1",18597502,"Vehicles"
2041,"SSP1",18692628,"Vehicles"
2042,"SSP1",18925712,"Vehicles"
2043,"SSP1",19154661,"Vehicles"
2044,"SSP1",19315711,"Vehicles"
2045,"SSP1",19414869,"Vehicles"
2046,"SSP1",19763511,"Vehicles"
2047,"SSP1",19625489,"Vehicles"
2048,"SSP1",19740513,"Vehicles"
2049,"SSP1",19777616,"Vehicles"
2050,"SSP1",20349740,"Vehicles"
2000,"SSP2",17349750,"Vehicles"
2001,"SSP2",17122363,"Vehicles"
2002,"SSP2",16816361,"Vehicles"
2003,"SSP2",16639047,"Vehicles"
2004,"SSP2",16866914,"Vehicles"
2005,"SSP2",16947748,"Vehicles"
2006,"SSP2",16054394,"Vehicles"
2007,"SSP2",15178703,"Vehicles"
2008,"SSP2",12444354,"Vehicles"
2009,"SSP2",9844768,"Vehicles"
2010,"SSP2",10864507,"Vehicles"
2011,"SSP2",12256716,"Vehicles"
2012,"SSP2",13702826,"Vehicles"
2013,"SSP2",14380531,"Vehicles"
2014,"SSP2",15251725,"Vehicles"
2015,"SSP2",16282092,"Vehicles"
2016,"SSP2",16244601,"Vehicles"
2017,"SSP2",15954365,"Vehicles"
2018,"SSP2",15693955,"Vehicles"
2019,"SSP2",20769059,"Vehicles"
2020,"SSP2",19436591,"Vehicles"
2021,"SSP2",19089222,"Vehicles"
2022,"SSP2",18803720,"Vehicles"
2023,"SSP2",18796163,"Vehicles"
2024,"SSP2",18884698,"Vehicles"
2025,"SSP2",18986528,"Vehicles"
2026,"SSP2",18678206,"Vehicles"
2027,"SSP2",18771235,"Vehicles"
2028,"SSP2",18841079,"Vehicles"
2029,"SSP2",19093489,"Vehicles"
2030,"SSP2",19176828,"Vehicles"
2031,"SSP2",19292602,"Vehicles"
2032,"SSP2",19431874,"Vehicles"
2033,"SSP2",19636435,"Vehicles"
2034,"SSP2",19870071,"Vehicles"
2035,"SSP2",20099085,"Vehicles"
2036,"SSP2",19666354,"Vehicles"
2037,"SSP2",19784047,"Vehicles"
2038,"SSP2",19784615,"Vehicles"
2039,"SSP2",19533061,"Vehicles"
2040,"SSP2",19388839,"Vehicles"
2041,"SSP2",19615865,"Vehicles"
2042,"SSP2",19866649,"Vehicles"
2043,"SSP2",20112148,"Vehicles"
2044,"SSP2",20290129,"Vehicles"
2045,"SSP2",20405694,"Vehicles"
2046,"SSP2",20711610,"Vehicles"
2047,"SSP2",20589077,"Vehicles"
2048,"SSP2",20719320,"Vehicles"
2049,"SSP2",20771060,"Vehicles"
2050,"SSP2",21455135,"Vehicles"
2000,"SSP5",17349750,"Vehicles"
2001,"SSP5",17122363,"Vehicles"
2002,"SSP5",16816361,"Vehicles"
2003,"SSP5",16639047,"Vehicles"
2004,"SSP5",16866914,"Vehicles"
2005,"SSP5",16947748,"Vehicles"
2006,"SSP5",16054394,"Vehicles"
2007,"SSP5",15178703,"Vehicles"
2008,"SSP5",12444354,"Vehicles"
2009,"SSP5",9844768,"Vehicles"
2010,"SSP5",10864507,"Vehicles"
2011,"SSP5",12256716,"Vehicles"
2012,"SSP5",13702826,"Vehicles"
2013,"SSP5",14380531,"Vehicles"
2014,"SSP5",15251725,"Vehicles"
2015,"SSP5",16282092,"Vehicles"
2016,"SSP5",16244601,"Vehicles"
2017,"SSP5",15954365,"Vehicles"
2018,"SSP5",15693955,"Vehicles"
2019,"SSP5",21845647,"Vehicles"
2020,"SSP5",20527012,"Vehicles"
2021,"SSP5",20846591,"Vehicles"
2022,"SSP5",20583315,"Vehicles"
2023,"SSP5",20602593,"Vehicles"
2024,"SSP5",20734955,"Vehicles"
2025,"SSP5",20888872,"Vehicles"
2026,"SSP5",21119906,"Vehicles"
2027,"SSP5",21288088,"Vehicles"
2028,"SSP5",21436013,"Vehicles"
2029,"SSP5",21773526,"Vehicles"
2030,"SSP5",21949592,"Vehicles"
2031,"SSP5",22386216,"Vehicles"
2032,"SSP5",22637189,"Vehicles"
2033,"SSP5",22956832,"Vehicles"
2034,"SSP5",23312064,"Vehicles"
2035,"SSP5",23666294,"Vehicles"
2036,"SSP5",22971070,"Vehicles"
2037,"SSP5",23219340,"Vehicles"
2038,"SSP5",23355735,"Vehicles"
2039,"SSP5",23240299,"Vehicles"
2040,"SSP5",23231787,"Vehicles"
2041,"SSP5",24149674,"Vehicles"
2042,"SSP5",24531104,"Vehicles"
2043,"SSP5",24904656,"Vehicles"
2044,"SSP5",25207953,"Vehicles"
2045,"SSP5",25452366,"Vehicles"
2046,"SSP5",26140471,"Vehicles"
2047,"SSP5",26157006,"Vehicles"
