"Technology","Size","Model_year","Scenario","Simulation","Value","Unit"
"ICEV-G","Car",1985,"Default","Baseline",9.92433099374693,"L/100km"
"ICEV-G","Light truck",1985,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1986,"Default","Baseline",9.92433099374693,"L/100km"
"ICEV-G","Light truck",1986,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1987,"Default","Baseline",9.8820465355675,"L/100km"
"ICEV-G","Light truck",1987,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1988,"Default","Baseline",9.74044728558416,"L/100km"
"ICEV-G","Light truck",1988,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1989,"Default","Baseline",9.92209728763206,"L/100km"
"ICEV-G","Light truck",1989,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1990,"Default","Baseline",10.0811918484915,"L/100km"
"ICEV-G","Light truck",1990,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1991,"Default","Baseline",10.0423233047174,"L/100km"
"ICEV-G","Light truck",1991,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1992,"Default","Baseline",10.196555933196,"L/100km"
"ICEV-G","Light truck",1992,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1993,"Default","Baseline",10.026564164641,"L/100km"
"ICEV-G","Light truck",1993,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1994,"Default","Baseline",10.106746088017,"L/100km"
"ICEV-G","Light truck",1994,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1995,"Default","Baseline",10.0341525602076,"L/100km"
"ICEV-G","Light truck",1995,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1996,"Default","Baseline",10.0832066730649,"L/100km"
"ICEV-G","Light truck",1996,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1997,"Default","Baseline",10.0659968656514,"L/100km"
"ICEV-G","Light truck",1997,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1998,"Default","Baseline",10.0726809335944,"L/100km"
"ICEV-G","Light truck",1998,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",1999,"Default","Baseline",10.3672814827364,"L/100km"
"ICEV-G","Light truck",1999,"Default","Baseline",14.1505528687945,"L/100km"
"ICEV-G","Car",2000,"Default","Baseline",10.4569213586246,"L/100km"
"ICEV-G","Light truck",2000,"Default","Baseline",13.9679103886248,"L/100km"
"ICEV-G","Car",2001,"Default","Baseline",10.4024268065219,"L/100km"
"ICEV-G","Light truck",2001,"Default","Baseline",14.2447278198807,"L/100km"
"ICEV-G","Car",2002,"Default","Baseline",10.3391395579159,"L/100km"
"ICEV-G","Light truck",2002,"Default","Baseline",14.2724576607657,"L/100km"
"ICEV-G","Car",2003,"Default","Baseline",10.2348039408151,"L/100km"
"ICEV-G","Light truck",2003,"Default","Baseline",14.0996157155374,"L/100km"
"ICEV-G","Car",2004,"Default","Baseline",10.3003947293371,"L/100km"
"ICEV-G","Light truck",2004,"Default","Baseline",14.2473487941724,"L/100km"
"ICEV-G","Car",2005,"Default","Baseline",10.1729958506811,"L/100km"
"ICEV-G","Light truck",2005,"Default","Baseline",13.9231421283106,"L/100km"
"ICEV-G","Car",2006,"Default","Baseline",10.2341705099596,"L/100km"
"ICEV-G","Light truck",2006,"Default","Baseline",13.702617780597,"L/100km"
"ICEV-G","Car",2007,"Default","Baseline",9.92445660672369,"L/100km"
"ICEV-G","Light truck",2007,"Default","Baseline",13.5590503033814,"L/100km"
"ICEV-G","Car",2008,"Default","Baseline",9.85077820071075,"L/100km"
"ICEV-G","Light truck",2008,"Default","Baseline",13.2142217304522,"L/100km"
"ICEV-G","Car",2009,"Default","Baseline",9.43466301569216,"L/100km"
"ICEV-G","Light truck",2009,"Default","Baseline",12.7019621860636,"L/100km"
"ICEV-G","Car",2010,"Default","Baseline",9.17268735301316,"L/100km"
"ICEV-G","Light truck",2010,"Default","Baseline",12.5392758981193,"L/100km"
"ICEV-G","Car",2011,"Default","Baseline",9.29863159914992,"L/100km"
"ICEV-G","Light truck",2011,"Default","Baseline",12.3262054639229,"L/100km"
"ICEV-G","Car",2012,"Default","Baseline",8.80335064764682,"L/100km"
"ICEV-G","Light truck",2012,"Default","Baseline",12.211367712477,"L/100km"
"ICEV-G","Car",2013,"Default","Baseline",8.58333422490277,"L/100km"
"ICEV-G","Light truck",2013,"Default","Baseline",11.9156281655131,"L/100km"
"ICEV-G","Car",2014,"Default","Baseline",8.59581393010997,"L/100km"
"ICEV-G","Light truck",2014,"Default","Baseline",11.5800100083282,"L/100km"
"ICEV-G","Car",2015,"Default","Baseline",8.4130358551176,"L/100km"
"ICEV-G","Light truck",2015,"Default","Baseline",11.1897254615892,"L/100km"
"ICEV-G","Car",2016,"Default","Baseline",8.31737932931372,"L/100km"
"ICEV-G","Light truck",2016,"Default","Baseline",11.1111295938864,"L/100km"
"ICEV-G","Car",2017,"Default","Baseline",8.18387474004298,"L/100km"
"ICEV-G","Light truck",2017,"Default","Baseline",11.0275937501177,"L/100km"
"ICEV-G","Car",2018,"Default","Baseline",8.18387474004298,"L/100km"
"ICEV-G","Light truck",2018,"Default","Baseline",11.0275937501177,"L/100km"
"ICEV-G","Car",2019,"Default","Baseline",8.18387474004298,"L/100km"
"ICEV-G","Light truck",2019,"Default","Baseline",11.0275937501177,"L/100km"
"ICEV-G","Car",2020,"Default","Baseline",8.183874740043,"L/100km"
"ICEV-G","Light truck",2020,"Default","Baseline",11.0275937501177,"L/100km"
"ICEV-G","Car",2021,"Default","Baseline",8.18387474004302,"L/100km"
"ICEV-G","Light truck",2021,"Default","Baseline",11.0275937501178,"L/100km"
"ICEV-G","Car",2022,"Default","Baseline",8.18387474004304,"L/100km"
"ICEV-G","Light truck",2022,"Default","Baseline",11.0275937501178,"L/100km"
"ICEV-G","Car",2023,"Default","Baseline",8.18387474004306,"L/100km"
"ICEV-G","Light truck",2023,"Default","Baseline",11.0275937501178,"L/100km"
"ICEV-G","Car",2024,"Default","Baseline",8.18387474004308,"L/100km"
"ICEV-G","Light truck",2024,"Default","Baseline",11.0275937501179,"L/100km"
"ICEV-G","Car",2025,"Default","Baseline",8.1838747400431,"L/100km"
"ICEV-G","Light truck",2025,"Default","Baseline",11.0275937501179,"L/100km"
"ICEV-G","Car",2026,"Default","Baseline",8.18387474004312,"L/100km"
"ICEV-G","Light truck",2026,"Default","Baseline",11.0275937501179,"L/100km"
"ICEV-G","Car",2027,"Default","Baseline",8.18387474004314,"L/100km"
"ICEV-G","Light truck",2027,"Default","Baseline",11.0275937501179,"L/100km"
"ICEV-G","Car",2028,"Default","Baseline",8.18387474004316,"L/100km"
"ICEV-G","Light truck",2028,"Default","Baseline",11.027593750118,"L/100km"
"ICEV-G","Car",2029,"Default","Baseline",8.18387474004318,"L/100km"
"ICEV-G","Light truck",2029,"Default","Baseline",11.027593750118,"L/100km"
"ICEV-G","Car",2030,"Default","Baseline",8.1838747400432,"L/100km"
"ICEV-G","Light truck",2030,"Default","Baseline",11.027593750118,"L/100km"
"ICEV-G","Car",2031,"Default","Baseline",8.18387474004322,"L/100km"
"ICEV-G","Light truck",2031,"Default","Baseline",11.0275937501181,"L/100km"
"ICEV-G","Car",2032,"Default","Baseline",8.18387474004324,"L/100km"
"ICEV-G","Light truck",2032,"Default","Baseline",11.0275937501181,"L/100km"
"ICEV-G","Car",2033,"Default","Baseline",8.18387474004326,"L/100km"
"ICEV-G","Light truck",2033,"Default","Baseline",11.0275937501181,"L/100km"
"ICEV-G","Car",2034,"Default","Baseline",8.18387474004328,"L/100km"
"ICEV-G","Light truck",2034,"Default","Baseline",11.0275937501182,"L/100km"
"ICEV-G","Car",2035,"Default","Baseline",8.1838747400433,"L/100km"
"ICEV-G","Light truck",2035,"Default","Baseline",11.0275937501182,"L/100km"
"ICEV-G","Car",2036,"Default","Baseline",8.18387474004332,"L/100km"
"ICEV-G","Light truck",2036,"Default","Baseline",11.0275937501182,"L/100km"
"ICEV-G","Car",2037,"Default","Baseline",8.18387474004334,"L/100km"
"ICEV-G","Light truck",2037,"Default","Baseline",11.0275937501183,"L/100km"
"ICEV-G","Car",2038,"Default","Baseline",8.18387474004336,"L/100km"
"ICEV-G","Light truck",2038,"Default","Baseline",11.0275937501183,"L/100km"
"ICEV-G","Car",2039,"Default","Baseline",8.18387474004338,"L/100km"
"ICEV-G","Light truck",2039,"Default","Baseline",11.0275937501183,"L/100km"
"ICEV-G","Car",2040,"Default","Baseline",8.1838747400434,"L/100km"
"ICEV-G","Light truck",2040,"Default","Baseline",11.0275937501183,"L/100km"
"ICEV-G","Car",2041,"Default","Baseline",8.18387474004342,"L/100km"
"ICEV-G","Light truck",2041,"Default","Baseline",11.0275937501184,"L/100km"
"ICEV-G","Car",2042,"Default","Baseline",8.18387474004344,"L/100km"
"ICEV-G","Light truck",2042,"Default","Baseline",11.0275937501184,"L/100km"
"ICEV-G","Car",2043,"Default","Baseline",8.18387474004346,"L/100km"
"ICEV-G","Light truck",2043,"Default","Baseline",11.0275937501184,"L/100km"
"ICEV-G","Car",2044,"Default","Baseline",8.18387474004348,"L/100km"
"ICEV-G","Light truck",2044,"Default","Baseline",11.0275937501185,"L/100km"
"ICEV-G","Car",2045,"Default","Baseline",8.1838747400435,"L/100km"
"ICEV-G","Light truck",2045,"Default","Baseline",11.0275937501185,"L/100km"
"ICEV-G","Car",2046,"Default","Baseline",8.18387474004352,"L/100km"
"ICEV-G","Light truck",2046,"Default","Baseline",11.0275937501185,"L/100km"
"ICEV-G","Car",2047,"Default","Baseline",8.18387474004354,"L/100km"
"ICEV-G","Light truck",2047,"Default","Baseline",11.0275937501186,"L/100km"
"ICEV-G","Car",2048,"Default","Baseline",8.18387474004356,"L/100km"
"ICEV-G","Light truck",2048,"Default","Baseline",11.0275937501186,"L/100km"
"ICEV-G","Car",2049,"Default","Baseline",8.18387474004358,"L/100km"
"ICEV-G","Light truck",2049,"Default","Baseline",11.0275937501186,"L/100km"
"ICEV-G","Car",2050,"Default","Baseline",8.1838747400436,"L/100km"
"ICEV-G","Light truck",2050,"Default","Baseline",11.0275937501187,"L/100km"
"ICEV-G","Car",1985,"Default","High weight control",9.92433099374693,"L/100km"
"ICEV-G","Light truck",1985,"Default","High weight control",14.1505528687945,"L/100km"
"ICEV-G","Car",1986,"Default","High weight control",9.92433099374693,"L/100km"
