"Year","Unit","Scenario","Default","max","min"
2015,"kg CO2 eq","SSP1",1490449106913.67,1528093728453.38,1508809145091.31
2015,"kg CO2 eq","SSP2",1490467201978.69,1528110283940.89,1508825058270.66
2015,"kg CO2 eq","SSP5",1490467695668.23,1528110735625.98,1508825492431.59
2016,"kg CO2 eq","SSP1",1472390040986.79,1507470910370.64,1489488167991.58
2016,"kg CO2 eq","SSP2",1472413764289.56,1507492258673.3,1489508838381.27
2016,"kg CO2 eq","SSP5",1472412959730.66,1507491534660.84,1489508137359.74
2017,"kg CO2 eq","SSP1",1523457844217.91,1558430884122.38,1538022284436.86
2017,"kg CO2 eq","SSP2",1523488543397.84,1558458555842.87,1538049005987.72
2017,"kg CO2 eq","SSP5",1523485998050.8,1558456261510.18,1538046790436.02
2018,"kg CO2 eq","SSP1",1516995464925.77,1552478501843.36,1529051530713.45
2018,"kg CO2 eq","SSP2",1517047790592.04,1552525965479.54,1529097444541.81
2018,"kg CO2 eq","SSP5",1517041353032.01,1552520126088.87,1529091795822.02
2019,"kg CO2 eq","SSP1",1555983008978.35,1605082554031.83,1567352106668.61
2019,"kg CO2 eq","SSP2",1566356812099.03,1618372756598.4,1577114069228.44
2019,"kg CO2 eq","SSP5",1579673139878.33,1631798732678.18,1589646068431.62
2020,"kg CO2 eq","SSP1",1552804418952.11,1600399212584.54,1562265761173.08
2020,"kg CO2 eq","SSP2",1568584342398.35,1619591108594.24,1577369222838.98
2020,"kg CO2 eq","SSP5",1588829419338,1638948500901.39,1596749848288.02
2021,"kg CO2 eq","SSP1",1556949955681.11,1605780605903.81,1563161169826.09
2021,"kg CO2 eq","SSP2",1575673295045.29,1627763252285.43,1581307718492.88
2021,"kg CO2 eq","SSP5",1610806280827.49,1662762313294.99,1615013114586.61
2022,"kg CO2 eq","SSP1",1560616474487.91,1611560542517.39,1562674316395.44
2022,"kg CO2 eq","SSP2",1583402404558.79,1638060666894.53,1584800705559.19
2022,"kg CO2 eq","SSP5",1629511783011.67,1683284123728.46,1629279180100.15
2023,"kg CO2 eq","SSP1",1565246157051.85,1619686110554.68,1561162289719.83
2023,"kg CO2 eq","SSP2",1592039799863.6,1650700281157.56,1587165373397.21
2023,"kg CO2 eq","SSP5",1648822109130.97,1705948039127.09,1642048781237.47
2024,"kg CO2 eq","SSP1",1569816829981.84,1626777397258.7,1559831619367.89
2024,"kg CO2 eq","SSP2",1600586743783.04,1662261018951.29,1589638473127
2024,"kg CO2 eq","SSP5",1667815260374.77,1727258786771.8,1654666439634.86
2025,"kg CO2 eq","SSP1",1574475068586.25,1634566925311.33,1558413698164.9
2025,"kg CO2 eq","SSP2",1609188509091.55,1674523742978.16,1591947801479.7
2025,"kg CO2 eq","SSP5",1686605130055.22,1749112832577.26,1666762969546.72
2026,"kg CO2 eq","SSP1",1573979817726.76,1636937677702.2,1552503028382.46
2026,"kg CO2 eq","SSP2",1612515947210.77,1681247988024.9,1589618511091.29
2026,"kg CO2 eq","SSP5",1705819807484.61,1773010669335.26,1679255462541.41
2027,"kg CO2 eq","SSP1",1574335791932.64,1643108333934.56,1546560130385.17
2027,"kg CO2 eq","SSP2",1616721102973.17,1691952269765.23,1587212281532.02
2027,"kg CO2 eq","SSP5",1722506049910.35,1796299101186.67,1688507625708.66
2028,"kg CO2 eq","SSP1",1571653791813.75,1646218488318.9,1538181295867.75
2028,"kg CO2 eq","SSP2",1617842816687.43,1699590067375.43,1582307923231.5
2028,"kg CO2 eq","SSP5",1735422074249.93,1815920347515.69,1694545193147.78
2029,"kg CO2 eq","SSP1",1567464620921.74,1649376309732.75,1526939179828.53
2029,"kg CO2 eq","SSP2",1617175300171.33,1707351810604.82,1574490033305.13
2029,"kg CO2 eq","SSP5",1745813332412.84,1835184502293.4,1696795456067.69
2030,"kg CO2 eq","SSP1",1558601101699.8,1646415561721.81,1512939889175.13
2030,"kg CO2 eq","SSP2",1612013930501.81,1708745601583.33,1563888142100.61
2030,"kg CO2 eq","SSP5",1750609275108.24,1847224222658.5,1695474315480.76
2031,"kg CO2 eq","SSP1",1547396163469.72,1643414260580.7,1494231788451.17
2031,"kg CO2 eq","SSP2",1603502184448.32,1708746280709.77,1547561201329.67
2031,"kg CO2 eq","SSP5",1754014495522.61,1861428486034.09,1689879997789.69
2032,"kg CO2 eq","SSP1",1531578083211.53,1635843424856.13,1472474743395.49
2032,"kg CO2 eq","SSP2",1591079678372.11,1705554175980.49,1528852681107.05
2032,"kg CO2 eq","SSP5",1751199513730.05,1869206302199.08,1679844176304.12
2033,"kg CO2 eq","SSP1",1512358815493.77,1625419100770.39,1447463104204.57
2033,"kg CO2 eq","SSP2",1575355899207.83,1699697664070.69,1507081984985.35
2033,"kg CO2 eq","SSP5",1744217885447.99,1873553282520.81,1665831133979.57
2034,"kg CO2 eq","SSP1",1489586866087.38,1611850523718.16,1418560428764.21
2034,"kg CO2 eq","SSP2",1556209192074.99,1690928609026.82,1481548233120.03
2034,"kg CO2 eq","SSP5",1733059622410.04,1874213570963.81,1647068870564.29
2035,"kg CO2 eq","SSP1",1462848445205.16,1594553124333.9,1385548308943.3
2035,"kg CO2 eq","SSP2",1533231489052.05,1678657783549.61,1452021124210.18
2035,"kg CO2 eq","SSP5",1717043545823.45,1870538780685.07,1623282133151.88
2036,"kg CO2 eq","SSP1",1430300188016.23,1564360406528.29,1350547403714.96
2036,"kg CO2 eq","SSP2",1499952133907.11,1646586668665.59,1416772261775.23
2036,"kg CO2 eq","SSP5",1678207271522.18,1830310781031.19,1582662595246.56
2037,"kg CO2 eq","SSP1",1400958337580.96,1538629396057.51,1317835270041.66
2037,"kg CO2 eq","SSP2",1472075676474.11,1622981139177.31,1385484282289.48
2037,"kg CO2 eq","SSP5",1645865479076.67,1801674299336.86,1546204932966.85
2038,"kg CO2 eq","SSP1",1372353487913.98,1512808271192.5,1286174969518.15
2038,"kg CO2 eq","SSP2",1444918159452.53,1599268626253.52,1355175730406.03
2038,"kg CO2 eq","SSP5",1612634993761.61,1771047257506.43,1508882922472
2039,"kg CO2 eq","SSP1",1343741267825.62,1485416406242.26,1255615017253.61
