"Year","Unit","Scenario","Default","max","min"
2039,"kg CO2 eq","SSP2",1417682468658.74,1573888148723.15,1325916959545.24
2039,"kg CO2 eq","SSP5",1577891595065.82,1737055152464.43,1470923702301.62
2040,"kg CO2 eq","SSP1",1317887328885.8,1461141254683.72,1226767503334.64
2040,"kg CO2 eq","SSP2",1393152765316.79,1551540878193.03,1298336602549.71
2040,"kg CO2 eq","SSP5",1544551742177.71,1704534888760.13,1433094897135.63
2041,"kg CO2 eq","SSP1",1295472690743.94,1440723791404.72,1199096136209.7
2041,"kg CO2 eq","SSP2",1372434158826.2,1533868107213.5,1272092934760.13
2041,"kg CO2 eq","SSP5",1523711053004.27,1688838509325.13,1404108336114.58
2042,"kg CO2 eq","SSP1",1276548943038.21,1424459878123.26,1174792375575.15
2042,"kg CO2 eq","SSP2",1354269275052.35,1518689767668.19,1248517204034.18
2042,"kg CO2 eq","SSP5",1500576469303.76,1667537538582.28,1374017541135.23
2043,"kg CO2 eq","SSP1",1259938730219.93,1410303572126.06,1152919718727.76
2043,"kg CO2 eq","SSP2",1338336434217.51,1505496683054.21,1227265448227.67
2043,"kg CO2 eq","SSP5",1479069121053.92,1647421026233.36,1345611709455.54
2044,"kg CO2 eq","SSP1",1245069273457.6,1397332270185.79,1133622407065.71
2044,"kg CO2 eq","SSP2",1324079484967.89,1493391336223.55,1208492887756.01
2044,"kg CO2 eq","SSP5",1458723435027.09,1627693931989.5,1319201795614.44
2045,"kg CO2 eq","SSP1",1231861972701.78,1385505950687.75,1116775712160.31
2045,"kg CO2 eq","SSP2",1311411668685.59,1482323143658.27,1192071894890.32
2045,"kg CO2 eq","SSP5",1439586354970.43,1608501562756.6,1294778435687.42
2046,"kg CO2 eq","SSP1",1222410556637,1378596938743.54,1102232134391.87
2046,"kg CO2 eq","SSP2",1300673126134.83,1473698560133.64,1176178662685.05
2046,"kg CO2 eq","SSP5",1428846095828.75,1600426014819.81,1277042866212.57
2047,"kg CO2 eq","SSP1",1211042055485.47,1367020767363.48,1090059306543.61
2047,"kg CO2 eq","SSP2",1288300858988.64,1461011241635.87,1162852219507.34
2047,"kg CO2 eq","SSP5",1414709262055.51,1585022768004.3,1260658794768.97
2048,"kg CO2 eq","SSP1",1203331083120.14,1360338547310.31,1080692179920.85
2048,"kg CO2 eq","SSP2",1279476628105.48,1453069263960.47,1152229335633.96
2048,"kg CO2 eq","SSP5",1404071900114.51,1574238067882,1247092068898.76
2049,"kg CO2 eq","SSP1",1196507434867.66,1353987195478.68,1073402154888.52
2049,"kg CO2 eq","SSP2",1271428639334.05,1445309459848.46,1143554503349.21
2049,"kg CO2 eq","SSP5",1394186513762.7,1563536802959.52,1235556258394.75
2050,"kg CO2 eq","SSP1",1195188423476.21,1356058467897.17,1068597867967.34
2050,"kg CO2 eq","SSP2",1269617526920.74,1447320970043.31,1137352478433.15
2050,"kg CO2 eq","SSP5",1391158678530.06,1563547115598.26,1226471599370.01
