"Year","Unit","Scenario","Default","max","min"
2015,"kg CO2 eq","SSP1",1490449106913.67,1520920661789.14,1489097293078.31
2015,"kg CO2 eq","SSP2",1490467201978.69,1491714748726.05,1518339762183.97
2015,"kg CO2 eq","SSP5",1490467695668.23,1520939809544.75,1489115698642.92
2016,"kg CO2 eq","SSP1",1472390040986.79,1500728077555.58,1471690489946.71
2016,"kg CO2 eq","SSP2",1472413764289.56,1473021471922.27,1499448015114.14
2016,"kg CO2 eq","SSP5",1472412959730.66,1500751747069.08,1471713180135.32
2017,"kg CO2 eq","SSP1",1523457844217.91,1549442290571.19,1522790521241.4
2017,"kg CO2 eq","SSP2",1523488543397.84,1524722083651.26,1547572634375.06
2017,"kg CO2 eq","SSP5",1523485998050.8,1549471355915.26,1522818355526.34
2018,"kg CO2 eq","SSP1",1516995464925.77,1543710046607.87,1515755819221.36
2018,"kg CO2 eq","SSP2",1517047790592.04,1519779376117.49,1539799727113.22
2018,"kg CO2 eq","SSP5",1517041353032.01,1543757566303.09,1515801284925.25
2019,"kg CO2 eq","SSP1",1557121784165.49,1605200143556.52,1551796813550.42
2019,"kg CO2 eq","SSP2",1567271233164.65,1584425859444.56,1591888364229.49
2019,"kg CO2 eq","SSP5",1580779863979.62,1625387900885.71,1575324578976.01
2020,"kg CO2 eq","SSP1",1552972936783.7,1609950351042.13,1544581871509.53
2020,"kg CO2 eq","SSP2",1569111557716.31,1596194233487.12,1589222221396.23
2020,"kg CO2 eq","SSP5",1589297617506.49,1640855036415.31,1580552052442
2021,"kg CO2 eq","SSP1",1552703738949.52,1615470729283.59,1541761817265.9
2021,"kg CO2 eq","SSP2",1573101124005.97,1607895541267.23,1588638538702.11
2021,"kg CO2 eq","SSP5",1607461218375.07,1664627967496.06,1595500457483.93
2022,"kg CO2 eq","SSP1",1548381102076.27,1613451248796.3,1535688883615.78
2022,"kg CO2 eq","SSP2",1575016788502.74,1615412664796.33,1586298826940.03
2022,"kg CO2 eq","SSP5",1618734459769.23,1678544704242.31,1604381771735.75
2023,"kg CO2 eq","SSP1",1542640312915.01,1606393568339.88,1528629992351.21
2023,"kg CO2 eq","SSP2",1576233903239.29,1620849632266.14,1582317345613.53
2023,"kg CO2 eq","SSP5",1628431241291.33,1688130941919.65,1611958188860.37
2024,"kg CO2 eq","SSP1",1534910819566.59,1595258925674.81,1520111263526
2024,"kg CO2 eq","SSP2",1576278356729.88,1623547094488.93,1577327306050.76
2024,"kg CO2 eq","SSP5",1636186454865.03,1694338922815.39,1617929630722.93
2025,"kg CO2 eq","SSP1",1524451227932.31,1580302953619.28,1509449966829.55
2025,"kg CO2 eq","SSP2",1574373166459.77,1622547022168.85,1571264769884.21
2025,"kg CO2 eq","SSP5",1641083546467.74,1697286651128.95,1621444373530.31
2026,"kg CO2 eq","SSP1",1506263050563.36,1555236641031.28,1492299700032.21
2026,"kg CO2 eq","SSP2",1565505829353.54,1610778711983.99,1560290095160.69
2026,"kg CO2 eq","SSP5",1644192789496.95,1699196004803.37,1623540486808.73
2027,"kg CO2 eq","SSP1",1488094722718.51,1531175232289.34,1475225299144.11
2027,"kg CO2 eq","SSP2",1557377388079.44,1599800200105.51,1550635435286.08
2027,"kg CO2 eq","SSP5",1643705953622.3,1696996157184.41,1622563639791.29
2028,"kg CO2 eq","SSP1",1466858601198.95,1502600953457.79,1455741282457.33
2028,"kg CO2 eq","SSP2",1546984919820.91,1584725076646.28,1539769225079.27
2028,"kg CO2 eq","SSP5",1639913221762.86,1691017481608.14,1618762223490.95
2029,"kg CO2 eq","SSP1",1444112394470.99,1470538819472.52,1435140024112.43
2029,"kg CO2 eq","SSP2",1535896377263.49,1568135198873.99,1528194661298.3
2029,"kg CO2 eq","SSP5",1634384197290.11,1682168088298.63,1613371553044.28
2030,"kg CO2 eq","SSP1",1417370452239.57,1433372360010.8,1411567172163.58
2030,"kg CO2 eq","SSP2",1521590989656.63,1545740982743.25,1515512537308.74
2030,"kg CO2 eq","SSP5",1624548293464.53,1669094982346.91,1604400140739.73
2031,"kg CO2 eq","SSP1",1388982233225.43,1391138998033.19,1385829812855.68
2031,"kg CO2 eq","SSP2",1505176845606.88,1521733990419.72,1499576033060.64
2031,"kg CO2 eq","SSP5",1614721045198.31,1655869751166.11,1594525393350.51
2032,"kg CO2 eq","SSP1",1356982441359.35,1340449205331.11,1357169732871.47
2032,"kg CO2 eq","SSP2",1487044245774.52,1494887461852.13,1483780052019.45
2032,"kg CO2 eq","SSP5",1600321203347.22,1639827915862.94,1580748730946.99
2033,"kg CO2 eq","SSP1",1322634521107.67,1292174712236.1,1326555222611.85
2033,"kg CO2 eq","SSP2",1467491645673.96,1465715574276.81,1467557549332.4
2033,"kg CO2 eq","SSP5",1583464054351.52,1622008798894.84,1564706027048.23
2034,"kg CO2 eq","SSP1",1285699947947.07,1245371531437.26,1293843273098.01
2034,"kg CO2 eq","SSP2",1446344856368.12,1428800993053.76,1450188034093.34
2034,"kg CO2 eq","SSP5",1563948589545.38,1600588132797.24,1546267891347.07
2035,"kg CO2 eq","SSP1",1245710146016.66,1200167846136.11,1258655197045.33
2035,"kg CO2 eq","SSP2",1423152880884.12,1388398093326.04,1431426971886.3
2035,"kg CO2 eq","SSP5",1541255645775.71,1573898982847.56,1525008081244.38
2036,"kg CO2 eq","SSP1",1199248121634.05,1151286161634.62,1218559654620.84
2036,"kg CO2 eq","SSP2",1389085683491.71,1334732273905.86,1404260197376.95
2036,"kg CO2 eq","SSP5",1485812782360.2,1492763575741.76,1478338644339.13
2037,"kg CO2 eq","SSP1",1152280309823.76,1108577735745.08,1177771992474.37
2037,"kg CO2 eq","SSP2",1357375307106.92,1292538390596.19,1378540321596.33
2037,"kg CO2 eq","SSP5",1432545546993.83,1423047559168.85,1431962691460.9
2038,"kg CO2 eq","SSP1",1102083324161.3,1067853967086.23,1134496624903.34
2038,"kg CO2 eq","SSP2",1322895145059.89,1251066506592.18,1351094856756.55
2038,"kg CO2 eq","SSP5",1372337508545.42,1350809959424.87,1380094617361.08
2039,"kg CO2 eq","SSP1",1050622643515.95,1028749542426.09,1088437097563.7
2039,"kg CO2 eq","SSP2",1284708747586.22,1208637799701.54,1321692555059.46
2039,"kg CO2 eq","SSP5",1304234557212.56,1276276803716.23,1322189589798.06
2040,"kg CO2 eq","SSP1",1003225693921.67,993342717655.261,1041621053398.98
2040,"kg CO2 eq","SSP2",1245875877390.6,1170698412290.63,1291107474673.36
2040,"kg CO2 eq","SSP5",1231263297761.94,1202007518840.06,1260233056901.17
2041,"kg CO2 eq","SSP1",960182194426.031,959657324621.597,993823879500.412
2041,"kg CO2 eq","SSP2",1206534337897.69,1138040438552,1258019392510.44
2041,"kg CO2 eq","SSP5",1167559618423.54,1146210012723.93,1203658012581.28
2042,"kg CO2 eq","SSP1",920734515212.893,931338827984.912,945320563058.059
2042,"kg CO2 eq","SSP2",1165130674273.96,1107672497418.96,1223488257532.5
2042,"kg CO2 eq","SSP5",1098023124684.42,1082887413109.5,1138739973909.59
2043,"kg CO2 eq","SSP1",883485623294.049,905297959435.15,898650476220.277
2043,"kg CO2 eq","SSP2",1121213179920.67,1078952642830.51,1186978064643.59
2043,"kg CO2 eq","SSP5",1028431451797.97,1019874545023.54,1068082789710.66
2044,"kg CO2 eq","SSP1",847882845663.61,881639733445.591,853866796796.675
2044,"kg CO2 eq","SSP2",1075959437059.6,1050876512962.94,1148548621515.75
2044,"kg CO2 eq","SSP5",958607735290.099,957664216816.163,992249707207.693
2045,"kg CO2 eq","SSP1",813951495345.714,859506786654.031,811137933899.779
2045,"kg CO2 eq","SSP2",1031794289023.74,1023432362700.1,1107896752672.02
2045,"kg CO2 eq","SSP5",888924926605.114,895770958737.516,915960410173.606
2046,"kg CO2 eq","SSP1",783897711090.139,839822626383.697,771651797069.967
2046,"kg CO2 eq","SSP2",988395870838.442,996798311676.632,1063057754572.37
2046,"kg CO2 eq","SSP5",829875978272.51,846588280322.001,847537679486.412
2047,"kg CO2 eq","SSP1",751775548779.603,820066250872.449,732184504586.3
2047,"kg CO2 eq","SSP2",943181238411.395,965135651315.673,1015734099150.57
2047,"kg CO2 eq","SSP5",766564341096.137,794316978133.119,777279197957.335
2048,"kg CO2 eq","SSP1",723731277750.046,803258880277.959,696379987208.623
2048,"kg CO2 eq","SSP2",901968104594.763,938331728311.426,966706220771.121
2048,"kg CO2 eq","SSP5",706702283558.92,745027315457.483,709926263947.764
2049,"kg CO2 eq","SSP1",696672492515.8,786886361357.115,662320754146.671
2049,"kg CO2 eq","SSP2",861755016556.139,911162183653.695,915315846764.911
2049,"kg CO2 eq","SSP5",647357442426.708,696226429920.297,643767592590.984
2050,"kg CO2 eq","SSP1",675406454599.22,774527067629.579,632631142410.032
2050,"kg CO2 eq","SSP2",828196914931.328,894274310346.39,865070746133.917
2050,"kg CO2 eq","SSP5",594295257326.259,652047212220.059,581696554414.936
